cbo,rfc,lcom,loc,cam,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
10,18,3,106,0.444444444,32.66666667,1,False,False,0.09639765805927697,False,0.3,False,0.2317381897436624,RandomForest,RandomForest,False,0.3
4,13,0,76,0.5,13.4,1,False,False,0.08410731764987389,False,0.0,False,0.04932516119882436,RandomForest,RandomForest,False,0.0
1,3,0,7,1.0,6.0,0,False,False,0.04386016353620977,False,0.0,False,0.02280705069227929,RandomForest,RandomForest,False,0.0
13,20,12,101,0.40625,11.0,1,False,False,0.09858595496303728,False,0.3,False,0.243499369393022,RandomForest,RandomForest,False,0.3
5,26,16,185,0.388888889,19.0,2,True,False,0.4618848109223152,False,0.4,False,0.4640154550505669,RandomForest,RandomForest,False,0.4
7,4,1,16,0.5555555560000001,4.0,1,False,False,0.06141731811953166,False,0.0,False,0.2054189858138135,RandomForest,RandomForest,False,0.0
4,40,130,345,0.284210526,15.9,3,True,False,0.19990033391178952,False,0.3,False,0.22312689248485928,RandomForest,RandomForest,False,0.3
7,28,20,183,0.3,12.53846154,7,False,True,0.5060182387976405,False,0.2,False,0.3511965102109522,RandomForest,RandomForest,False,0.2
5,19,8,119,0.518518519,11.77777778,3,False,False,0.10308626424838828,False,0.1,False,0.05041271522068457,RandomForest,RandomForest,False,0.1
9,25,0,255,0.342857143,34.85714286,9,False,False,0.2114791703317447,False,0.1,False,0.32303978894508634,RandomForest,RandomForest,False,0.1
5,17,26,71,0.333333333,6.555555556,3,False,False,0.4415740354534281,True,0.6,False,0.4722416119559015,RandomForest,RandomForest,True,0.6
19,10,3,38,0.583333333,11.66666667,1,False,False,0.06447606914747693,False,0.0,False,0.07445673483587181,RandomForest,RandomForest,False,0.0
10,1,0,1,1.0,0.0,1,False,False,0.040242816114987874,False,0.0,False,0.02559415807549133,RandomForest,RandomForest,False,0.0
3,12,20,54,0.375,4.555555556,1,False,False,0.08756008454036833,False,0.0,False,0.2822996937922518,RandomForest,RandomForest,False,0.0
7,40,129,252,0.3815789470000001,11.52631579,6,False,False,0.19562243960335027,False,0.0,False,0.02136433448775031,RandomForest,RandomForest,False,0.0
13,26,0,110,0.26,9.9,3,False,False,0.13321121578307832,False,0.2,False,0.3394245467528225,RandomForest,RandomForest,False,0.2
2,5,0,34,0.5,10.0,1,False,False,0.0696302351182039,False,0.0,False,0.0480148692843314,RandomForest,RandomForest,False,0.0
7,79,136,835,0.19375,39.8,10,False,True,0.6222846661876775,True,0.9,True,0.5750171707631558,RandomForest,RandomForest,True,0.9
8,6,15,6,0.444444444,0.0,1,False,False,0.06823534738880045,False,0.1,False,0.17165997515550985,RandomForest,RandomForest,False,0.1
5,11,1,41,0.75,12.33333333,3,True,False,0.07224494369112856,False,0.1,False,0.20828465645566724,RandomForest,RandomForest,False,0.1
7,14,6,70,0.8,12.6,4,False,False,0.07812910609751783,False,0.0,False,0.2981031310523166,RandomForest,RandomForest,False,0.0
1,1,0,1,1.0,0.0,1,False,False,0.0437882315905885,False,0.0,False,0.03736190460764195,RandomForest,RandomForest,False,0.0
7,26,0,181,0.409090909,15.0,1,False,False,0.1207630250614032,False,0.3,False,0.19942372530174546,RandomForest,RandomForest,False,0.3
5,15,3,51,0.666666667,16.0,2,False,False,0.08056923320455221,False,0.3,False,0.07790529502880486,RandomForest,RandomForest,False,0.3
5,7,1,29,0.666666667,8.333333332999999,1,False,False,0.06262660235382428,False,0.0,False,0.09431465822778996,RandomForest,RandomForest,False,0.0
15,65,76,483,0.311111111,28.25,9,True,True,0.5230079617683557,False,0.4,False,0.4417522987352825,Voting,RandomForest,False,0.4
12,5,0,18,0.4375,3.25,1,False,False,0.06602554223975568,False,0.0,False,0.05284568381531557,RandomForest,RandomForest,False,0.0
11,65,75,443,0.295238095,28.06666667,5,False,True,0.7285602701284238,True,0.7,True,0.6092972140101159,RandomForest,RandomForest,True,0.7
3,24,17,309,0.545454545,26.45454545,11,False,False,0.2338599262210813,False,0.4,False,0.4670682747785244,RandomForest,RandomForest,False,0.4
1,3,1,7,0.75,2.5,1,False,False,0.054679006110801696,False,0.0,False,0.028843659385709094,RandomForest,RandomForest,False,0.0
9,41,0,204,0.225,12.33333333,2,False,False,0.18397026718116893,False,0.2,False,0.26451569709286826,RandomForest,RandomForest,False,0.2
11,29,85,108,0.321428571,6.571428571,4,False,False,0.13894460343745632,False,0.5,False,0.3002001607083077,RandomForest,AdaBoost,False,0.3002001607083077
8,101,157,1286,0.183760684,45.62962963,4,True,True,0.9712331275502738,True,1.0,True,0.6146311850443412,RandomForest,RandomForest,True,1.0
8,23,4,249,0.8,48.2,1,False,False,0.086490740292211,False,0.3,False,0.4752504649777724,RandomForest,RandomForest,False,0.3
2,3,3,4,0.666666667,0.0,1,False,False,0.05722796651893,False,0.0,False,0.017902077489398927,RandomForest,RandomForest,False,0.0
5,19,6,57,0.625,13.25,2,False,False,0.0908684019102204,False,0.2,False,0.1590295736845317,RandomForest,RandomForest,False,0.2
2,11,3,53,0.666666667,7.5,1,False,False,0.07129934104966314,False,0.0,False,0.008490455883368237,RandomForest,RandomForest,False,0.0
20,106,1313,1133,0.195454545,19.12727273,10,False,True,0.9658908879118328,True,0.9,True,0.9088716698826362,RandomForest,RandomForest,True,0.9
4,19,3,136,0.666666667,44.33333333,2,False,False,0.08994182157952225,False,0.0,False,0.06963140220492149,RandomForest,RandomForest,False,0.0
4,22,0,169,0.625,19.875,7,False,False,0.12711984684331146,False,0.3,True,0.5135379793153649,RandomForest,RandomForest,False,0.3
1,23,39,136,0.348484848,10.81818182,1,False,False,0.11832712167947172,False,0.1,False,0.1446248371323242,RandomForest,RandomForest,False,0.1
10,29,43,91,0.2,7.9,3,False,False,0.4783300398712858,False,0.3,False,0.2104079652152544,RandomForest,RandomForest,False,0.3
1,2,0,4,1.0,3.0,0,False,False,0.04267608857446503,False,0.0,False,0.028109485961758586,RandomForest,RandomForest,False,0.0
12,22,3,72,1.0,22.66666667,1,False,False,0.06976543456871111,False,0.3,False,0.3694596354850853,RandomForest,RandomForest,False,0.3
32,36,36,281,0.25,29.55555556,11,False,True,0.7178219960111575,False,0.2,False,0.2959687795272703,RandomForest,RandomForest,False,0.2
24,8,3,43,0.7142857140000001,4.714285714,1,False,False,0.05273864297030096,False,0.0,False,0.11405664785035215,RandomForest,RandomForest,False,0.0
4,19,30,130,0.666666667,13.33333333,4,False,False,0.09837716799891476,False,0.4,False,0.15968202155426042,RandomForest,RandomForest,False,0.4
61,144,1603,2303,0.213709677,35.01587302,35,True,True,0.99707859526732,True,1.0,True,0.8847021101592678,RandomForest,RandomForest,True,1.0
20,13,7,56,0.433333333,8.0,1,False,False,0.07697827013808516,False,0.0,False,0.17566120931422466,RandomForest,RandomForest,False,0.0
6,2,1,2,0.666666667,0.0,1,False,False,0.05385046849864824,False,0.0,False,0.02079647491055127,RandomForest,RandomForest,False,0.0
5,47,159,365,0.3619047620000001,14.81818182,9,False,False,0.3499973428796273,False,0.3,False,0.2263233936362516,RandomForest,RandomForest,False,0.3
9,34,118,137,0.270588235,6.470588235,2,True,False,0.14902665069204898,False,0.4,False,0.4164532855134014,RandomForest,RandomForest,False,0.4
15,99,18,804,0.27777777800000003,65.08333333,18,True,True,0.6490918522559767,True,0.6,True,0.6070021323929647,RandomForest,Voting,True,0.6490918522559767
3,30,27,245,0.283333333,22.8,2,False,False,0.1546942163841771,False,0.3,False,0.3118503540661957,RandomForest,RandomForest,False,0.3
9,20,1,128,0.625,63.0,9,True,False,0.12114110866875205,False,0.2,False,0.17142543420253306,RandomForest,RandomForest,False,0.2
25,120,451,920,0.146825397,19.86046512,15,True,True,0.9872997252073829,True,1.0,True,0.8760137730832236,RandomForest,RandomForest,True,1.0
37,44,183,271,0.198863636,11.22727273,3,False,False,0.21083744732028506,False,0.2,False,0.3921928205975125,RandomForest,RandomForest,False,0.2
15,67,295,586,0.17320261399999998,15.91176471,5,True,True,0.8975101560061463,False,0.3,False,0.24022807923898834,Voting,AdaBoost,False,0.24022807923898834
3,4,1,19,1.0,8.0,1,False,False,0.3800850427778952,False,0.1,False,0.4384271908796859,RandomForest,RandomForest,False,0.1
