dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
3,0,7,0,1,4,0.36,1,2,7.4,0.6,False,False,0.12230843917678827,True,0.6,True,0.519285157854559,Voting,AdaBoost,True,0.519285157854559
1,0,3,4,1,3,0.5,0,0,3.0,0.5,False,False,0.12764764293735867,False,0.1,False,0.24601374495024794,AdaBoost,AdaBoost,False,0.24601374495024794
4,0,26,144,2,13,0.197368421,4,5,20.3,1.0,False,False,0.0635645380172374,False,0.2,False,0.34601422816432664,AdaBoost,AdaBoost,False,0.34601422816432664
2,0,8,3,2,2,0.666666667,1,3,54.0,5.3333,True,True,0.6137909941150071,False,0.5,False,0.4970477277903228,Voting,AdaBoost,False,0.4970477277903228
1,0,25,22,22,6,0.25,0,0,20.875,0.75,True,False,0.24675232123163895,False,0.4,False,0.42448469937151023,AdaBoost,AdaBoost,False,0.42448469937151023
1,0,6,3,5,3,1.0,0,0,0.0,1.0,False,False,0.113554347034319,False,0.1,False,0.12282284444300012,AdaBoost,AdaBoost,False,0.12282284444300012
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False,False,0.060757458746542675,False,0.0,False,0.04752456942165687,AdaBoost,AdaBoost,False,0.04752456942165687
1,0,9,15,2,6,0.333333333,0,0,6.666666667,1.3333,True,False,0.19798545031642806,False,0.1,False,0.26057809148139216,AdaBoost,AdaBoost,False,0.26057809148139216
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.14147068527188011,False,0.0,False,0.04199255224160508,AdaBoost,AdaBoost,False,0.04199255224160508
1,0,7,6,0,3,0.375,0,0,4.5,0.75,False,False,0.14436082837027345,False,0.1,False,0.19252119398703613,AdaBoost,AdaBoost,False,0.19252119398703613
1,0,11,45,1,9,0.15,0,0,4.2,0.9,True,True,0.5147830734290922,False,0.2,False,0.27627705135359626,Voting,AdaBoost,False,0.27627705135359626
3,0,10,25,3,7,0.3,2,3,15.4,0.9,False,False,0.11181307057651248,False,0.1,False,0.3360028749964631,AdaBoost,AdaBoost,False,0.3360028749964631
2,0,13,201,2,21,0.17676767699999998,1,1,10.13043478,0.8696,False,True,0.5347914617055346,False,0.4,False,0.37184228373097294,AdaBoost,AdaBoost,False,0.37184228373097294
4,0,18,22,4,7,0.3125,0,0,16.5,0.75,False,False,0.22272774022528832,False,0.2,False,0.4120089305309909,AdaBoost,AdaBoost,False,0.4120089305309909
3,0,3,6,0,8,0.4166666670000001,1,2,7.888888888999999,0.8889,True,False,0.14477229653954485,False,0.1,False,0.2733623381266394,AdaBoost,AdaBoost,False,0.2733623381266394
1,2,8,3,2,2,0.533333333,0,0,31.0,1.6667,False,True,0.5535104929229614,True,0.7,False,0.4780688537334995,AdaBoost,AdaBoost,False,0.4780688537334995
4,0,6,5,1,8,0.25,2,2,15.4,1.1,True,True,0.5056867762392082,False,0.1,False,0.29540132173793204,Voting,AdaBoost,False,0.29540132173793204
2,0,7,26,0,1,0.390625,1,1,50.75,3.625,False,True,0.7454771960654477,False,0.1,False,0.18338629680211704,AdaBoost,AdaBoost,False,0.18338629680211704
1,0,17,6,11,4,0.45,0,0,12.25,2.0,False,True,0.6138576727200313,True,0.7,False,0.4240248349063207,AdaBoost,AdaBoost,False,0.4240248349063207
1,0,3,1,3,2,0.666666667,0,0,7.5,1.0,False,False,0.1456551672756782,False,0.3,True,0.533512370854358,AdaBoost,AdaBoost,True,0.533512370854358
1,0,6,61,2,14,0.297619048,0,0,4.428571429,0.9286,False,False,0.1970514426279032,False,0.1,False,0.2171074553010697,AdaBoost,AdaBoost,False,0.2171074553010697
1,0,8,62,2,11,0.229166667,0,0,10.1875,1.3125,False,True,0.5551972925476897,True,0.7,True,0.5089214276839904,AdaBoost,AdaBoost,True,0.5089214276839904
4,17,66,6,66,4,0.666666667,0,0,4.0,0.0,False,True,0.6504440134657811,False,0.3,False,0.2290079561946024,AdaBoost,AdaBoost,False,0.2290079561946024
1,0,4,1,2,6,0.5,0,0,7.0,1.1667,False,True,0.5108140414935018,False,0.4,False,0.4577827075111448,AdaBoost,AdaBoost,False,0.4577827075111448
1,0,3,3,1,3,0.666666667,0,0,41.33333333,4.6667,False,True,0.6322006764468745,False,0.4,False,0.2959051282366135,AdaBoost,AdaBoost,False,0.2959051282366135
2,0,11,25,3,8,0.25,0,0,5.363636364,0.7273,True,False,0.19283348680338044,False,0.2,False,0.3160873080959799,AdaBoost,AdaBoost,False,0.3160873080959799
1,0,2,1,1,2,1.0,0,0,0.0,1.0,False,False,0.10662320196987064,False,0.0,False,0.16430376552501888,AdaBoost,AdaBoost,False,0.16430376552501888
3,0,2,1,1,3,0.666666667,0,0,3.666666667,0.6667,True,False,0.33505169613869296,False,0.37666666666666665,False,0.4996354161964805,AdaBoost,AdaBoost,False,0.4996354161964805
2,0,6,3,2,3,0.5555555560000001,0,0,2.333333333,0.6667,True,False,0.4860038831419993,False,0.0,False,0.22452581997867002,AdaBoost,AdaBoost,False,0.22452581997867002
1,0,6,10,3,4,0.45,0,0,11.0,1.6,False,False,0.2149022269077672,False,0.5,False,0.3583266917038063,AdaBoost,AdaBoost,False,0.3583266917038063
1,0,17,528,11,33,0.387205387,0,0,0.0,1.0,True,True,0.5059871359079101,False,0.2,False,0.34052174988383993,Voting,RandomForest,False,0.2
1,0,5,3,2,3,0.7777777779999999,0,0,0.0,1.0,False,False,0.12681984514981026,False,0.1,False,0.12582872634580464,AdaBoost,AdaBoost,False,0.12582872634580464
1,0,32,0,3,3,0.4166666670000001,0,0,27.42857143,0.7143,False,False,0.12271255821072236,False,0.4,False,0.28029958951414075,AdaBoost,AdaBoost,False,0.28029958951414075
2,0,13,0,1,3,0.371428571,1,1,35.25,0.875,True,False,0.11936634701887905,False,0.3,False,0.2779820701525269,AdaBoost,AdaBoost,False,0.2779820701525269
1,0,5,3,0,3,0.533333333,0,0,5.333333333,0.6667,False,False,0.1274381774434062,False,0.1,False,0.16618920622648994,AdaBoost,AdaBoost,False,0.16618920622648994
3,0,14,7,1,5,0.25,0,0,36.63636364,1.8182,False,False,0.25893966638308,False,0.3,False,0.3670862731420293,AdaBoost,AdaBoost,False,0.3670862731420293
4,0,5,1,2,1,0.666666667,1,1,11.0,0.5,True,False,0.13370234060384556,False,0.2,False,0.3601386297437565,AdaBoost,AdaBoost,False,0.3601386297437565
1,0,9,0,4,1,1.0,0,0,0.0,1.0,False,False,0.10253929519158306,False,0.0,False,0.16618586417181966,AdaBoost,AdaBoost,False,0.16618586417181966
1,0,4,0,1,4,0.583333333,0,0,8.5,0.75,True,False,0.4676385595667681,False,0.5,False,0.22469634084300424,AdaBoost,Voting,False,0.4676385595667681
3,13,22,30,15,10,0.226190476,1,3,8.333333332999999,0.8333,False,True,0.9329354951873752,False,0.5,True,0.5861473496890202,RandomForest,AdaBoost,True,0.5861473496890202
3,0,21,59,9,13,0.261538462,1,3,13.64285714,1.1429,False,False,0.15722107068455093,False,0.4,False,0.43846006704258456,AdaBoost,AdaBoost,False,0.43846006704258456
4,8,13,0,11,3,0.625,0,0,8.25,0.5,True,True,0.5912781219241262,False,0.4,False,0.4085168348223456,Voting,Voting,True,0.5912781219241262
4,0,8,3,0,1,0.666666667,2,2,15.33333333,0.6667,False,False,0.09364395797356212,False,0.0,False,0.1182851653863067,AdaBoost,AdaBoost,False,0.1182851653863067
1,0,7,0,7,1,1.0,0,0,0.0,1.0,False,False,0.1151144448590514,False,0.1,False,0.17676358182075833,AdaBoost,AdaBoost,False,0.17676358182075833
1,1,3,0,1,1,0.75,1,1,20.0,1.0,False,False,0.09902390247505732,True,0.6,False,0.4215964530485066,AdaBoost,AdaBoost,False,0.4215964530485066
0,0,21,9,2,3,0.457142857,0,0,50.33333333,1.6667,False,False,0.1334328324155199,False,0.2,False,0.2958689947402579,AdaBoost,AdaBoost,False,0.2958689947402579
1,0,2,0,1,1,1.0,0,0,6.0,0.0,False,False,0.06142467847552058,False,0.0,False,0.09013833542474647,AdaBoost,AdaBoost,False,0.09013833542474647
2,0,8,15,2,7,0.35714285700000004,1,20,5.0,0.8571,False,False,0.002696404465852443,False,0.0,False,0.01653697245140278,AdaBoost,AdaBoost,False,0.01653697245140278
1,0,9,0,2,2,0.666666667,0,0,18.66666667,0.3333,False,False,0.4285612653847539,True,0.6,False,0.4570818791257478,AdaBoost,AdaBoost,False,0.4570818791257478
1,1,15,45,4,12,0.35,0,0,9.933333333,1.2,False,True,0.546851709870935,False,0.3,False,0.4141712577695604,AdaBoost,AdaBoost,False,0.4141712577695604
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False,False,0.1055756845529306,False,0.0,False,0.10490520170905887,AdaBoost,AdaBoost,False,0.10490520170905887
3,0,9,4,2,2,0.3,0,0,5.6,0.6,False,False,0.19252818945449204,False,0.2,False,0.25387916460473386,AdaBoost,AdaBoost,False,0.25387916460473386
1,0,7,6,1,4,0.625,0,0,8.75,0.75,False,False,0.4575407599599654,False,0.3,False,0.3843509713350979,AdaBoost,AdaBoost,False,0.3843509713350979
3,0,10,8,0,3,0.4,1,3,11.2,0.8,False,False,0.10059702664979583,False,0.1,False,0.12879671349873273,AdaBoost,AdaBoost,False,0.12879671349873273
1,0,6,3,2,2,0.333333333,0,0,9.333333332999999,0.6667,False,False,0.15200344648464534,False,0.1,False,0.2272795884658903,AdaBoost,AdaBoost,False,0.2272795884658903
4,0,11,73,3,13,0.257142857,1,16,15.57142857,1.5,False,False,0.0219826789926722,False,0.1,False,0.4052547141016992,AdaBoost,AdaBoost,False,0.4052547141016992
2,6,26,105,12,22,0.113756614,1,3,8.703703704,1.0741,True,False,0.4824957035454413,True,0.6,False,0.4249730910494261,RandomForest,AdaBoost,False,0.4249730910494261
2,2,7,15,2,4,0.28571428600000004,0,0,5.1428571430000005,1.0,False,False,0.2353179102771893,False,0.3,False,0.2343260523542767,AdaBoost,AdaBoost,False,0.2343260523542767
3,0,8,0,2,2,0.4,0,0,12.66666667,1.0,False,True,0.5454793154182197,True,0.7,True,0.6114666846987041,AdaBoost,AdaBoost,True,0.6114666846987041
3,0,1,0,0,3,0.625,2,2,4.0,0.75,False,False,0.2632562955700512,False,0.3,False,0.20183823087908206,AdaBoost,AdaBoost,False,0.20183823087908206
