wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
28,32,82,7,24,926,0,31.64285714,True,True,0.8381961119074064,False,0.5,False,0.4698641078015132,Voting,AdaBoost,False,0.4698641078015132
6,3,7,1,4,36,0,4.666666667,False,False,0.429003347197624,False,0.1,False,0.4976999255708832,AdaBoost,AdaBoost,False,0.4976999255708832
4,5,6,4,2,21,1,4.0,False,False,0.10144871060831896,False,0.0,False,0.12264742906016644,AdaBoost,AdaBoost,False,0.12264742906016644
4,9,4,0,4,4,0,0.0,False,False,0.4200946802442012,False,0.5,True,0.7611269155801226,AdaBoost,AdaBoost,True,0.7611269155801226
1,8,1,2,1,1,0,0.0,False,False,0.08412552564143022,False,0.0,False,0.08351899530368974,AdaBoost,AdaBoost,False,0.08351899530368974
23,150,67,5,20,653,1,26.86956522,True,True,0.5889004105160676,False,0.2,False,0.2437957124521189,Voting,RandomForest,False,0.2
5,8,26,7,4,127,2,23.6,False,False,0.13540058393894236,False,0.1,False,0.2721572834212813,AdaBoost,AdaBoost,False,0.2721572834212813
25,18,73,0,18,666,0,25.32,True,True,0.6636433973058333,False,0.2,False,0.18476368838601945,Voting,AdaBoost,False,0.18476368838601945
7,2,13,1,7,86,0,10.42857143,False,False,0.08735039634153442,False,0.1,False,0.22658803878170056,AdaBoost,AdaBoost,False,0.22658803878170056
21,7,22,2,21,141,2,5.2380952380000005,False,False,0.09189643573487792,False,0.2,False,0.15068505753905814,AdaBoost,AdaBoost,False,0.15068505753905814
2,2,4,1,2,11,0,4.5,False,False,0.08424117737441379,False,0.0,False,0.17818767509290165,AdaBoost,AdaBoost,False,0.17818767509290165
8,10,21,5,7,130,0,15.25,False,False,0.44433017113728734,False,0.3,False,0.06592330332436784,AdaBoost,AdaBoost,False,0.06592330332436784
32,16,81,0,27,504,0,14.34375,False,False,0.4090792572547388,False,0.1,False,0.11134610707560318,AdaBoost,AdaBoost,False,0.11134610707560318
13,4,44,2,9,208,0,14.84615385,False,False,0.18672174334957112,False,0.1,False,0.18084468897778666,AdaBoost,AdaBoost,False,0.18084468897778666
19,8,42,7,3,329,1,16.05263158,True,False,0.2533243030943882,False,0.0,False,0.32563565619990625,AdaBoost,AdaBoost,False,0.32563565619990625
2,6,21,3,1,144,0,71.0,False,False,0.0987471538669622,False,0.0,False,0.06635499015720822,AdaBoost,AdaBoost,False,0.06635499015720822
1,4,1,2,1,1,0,0.0,False,False,0.0819583452902282,False,0.0,False,0.12318679918317275,AdaBoost,AdaBoost,False,0.12318679918317275
25,10,58,4,23,257,1,9.08,False,False,0.2043805337598369,False,0.0,False,0.08058076015862489,AdaBoost,AdaBoost,False,0.08058076015862489
8,12,29,5,8,126,1,14.625,False,False,0.1325123791973484,False,0.0,False,0.12778119212089606,AdaBoost,AdaBoost,False,0.12778119212089606
5,26,11,2,5,41,1,6.8,False,False,0.10957649068520416,False,0.1,False,0.2202421742851113,AdaBoost,AdaBoost,False,0.2202421742851113
3,7,8,0,3,34,0,10.33333333,False,False,0.09138692805323156,False,0.0,False,0.019391535732878242,AdaBoost,AdaBoost,False,0.019391535732878242
4,6,10,5,1,27,1,5.5,False,False,0.11989476702367707,False,0.0,False,0.06415253181607275,AdaBoost,AdaBoost,False,0.06415253181607275
5,6,6,1,5,32,1,5.0,False,False,0.08554842357332873,True,0.7,False,0.4299588799122753,AdaBoost,AdaBoost,False,0.4299588799122753
2,4,3,1,1,8,1,2.5,False,False,0.09325644555322388,False,0.1,False,0.09503318398147144,AdaBoost,AdaBoost,False,0.09503318398147144
1,4,1,1,1,1,0,0.0,False,False,0.08244764691950487,False,0.0,False,0.1327189403638523,AdaBoost,AdaBoost,False,0.1327189403638523
10,27,19,2,10,138,1,12.3,False,False,0.10988515703650856,False,0.3,False,0.2933938922150692,AdaBoost,AdaBoost,False,0.2933938922150692
12,3,25,0,12,67,0,4.583333333,False,False,0.11500410571944325,False,0.0,False,0.4161386220179697,AdaBoost,AdaBoost,False,0.4161386220179697
5,14,21,3,5,75,0,13.8,False,False,0.12077167271874145,False,0.1,False,0.21688912093857585,AdaBoost,AdaBoost,False,0.21688912093857585
54,17,137,0,16,1589,1,27.7962963,False,True,0.9952913599702424,True,0.9,True,0.5704854782077549,AdaBoost,AdaBoost,True,0.5704854782077549
5,4,9,3,5,61,0,10.2,False,False,0.08396371547958631,False,0.0,False,0.2707674666869314,AdaBoost,AdaBoost,False,0.2707674666869314
37,26,120,26,24,1123,0,29.10810811,True,True,0.6253146805628877,False,0.4,False,0.41595852065452005,Voting,AdaBoost,False,0.41595852065452005
10,9,15,6,8,67,1,5.3,False,False,0.1093340294887238,False,0.0,False,0.1966883496902427,AdaBoost,AdaBoost,False,0.1966883496902427
8,6,32,6,4,221,0,26.375,False,False,0.4854273189972882,False,0.3,False,0.191280412146135,AdaBoost,AdaBoost,False,0.191280412146135
2,4,5,2,1,19,1,8.0,False,False,0.09489886688750253,False,0.0,False,0.05091473759060845,AdaBoost,AdaBoost,False,0.05091473759060845
20,8,29,3,20,188,1,8.0,False,False,0.4342255224058272,False,0.2,False,0.4210519519309309,AdaBoost,AdaBoost,False,0.4210519519309309
3,3,4,1,2,16,0,4.0,False,False,0.08931008753358087,False,0.0,False,0.16441147512746926,AdaBoost,AdaBoost,False,0.16441147512746926
3,9,23,8,2,125,2,39.66666667,False,False,0.09982071640001401,False,0.2,False,0.14285714285714285,AdaBoost,AdaBoost,False,0.14285714285714285
8,32,104,29,3,955,2,118.0,True,True,0.5921313910990207,False,0.3,False,0.3483314773547883,Voting,Voting,True,0.5921313910990207
8,16,52,0,5,336,1,40.625,False,True,0.5468457775977716,True,0.9,True,0.9999999925494194,AdaBoost,AdaBoost,True,0.9999999925494194
7,5,20,4,5,110,0,14.0,False,False,0.11294092353412492,False,0.0,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.967053706610929e-09
3,16,38,0,1,159,0,52.0,False,False,0.18378261996289547,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
5,6,24,0,5,88,0,16.2,False,False,0.11182705056123657,False,0.1,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.967053706610929e-09
9,20,71,20,5,476,0,51.88888889,False,False,0.3736082010335286,False,0.5,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.29999999999999993
16,27,123,23,2,1851,0,114.6875,False,True,0.6504401708652408,True,0.6,True,0.60435607626104,AdaBoost,AdaBoost,True,0.60435607626104
4,5,22,2,3,100,0,24.0,False,False,0.11464629089479468,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
23,10,74,9,14,608,0,25.08695652,False,True,0.6794399259090239,True,0.7,True,0.6516685226452117,AdaBoost,AdaBoost,True,0.6516685226452117
7,7,34,6,2,288,1,39.85714286,False,True,0.503293058552481,False,0.5,False,0.179128784747792,AdaBoost,AdaBoost,False,0.179128784747792
10,10,38,0,9,207,0,19.3,False,False,0.14684343387898105,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
3,4,19,3,3,57,0,17.66666667,False,False,0.09747887245423813,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
1,5,1,2,1,1,0,0.0,False,False,0.07592731757551206,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
11,4,25,1,7,215,0,18.0,False,False,0.14208626586112486,False,0.1,False,9.755099778201686e-09,AdaBoost,AdaBoost,False,9.755099778201686e-09
4,2,6,1,3,23,1,4.5,False,False,0.08162207606284888,False,0.1,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
11,2,15,0,11,95,0,7.272727272999999,False,False,0.07614535980830045,False,0.0,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.967053706610929e-09
18,23,83,5,15,638,0,34.33333333,False,True,0.7138410355776067,False,0.4,True,0.5505102572168219,RandomForest,RandomForest,False,0.4
11,7,27,0,10,85,0,6.6363636360000005,False,False,0.11968170217634545,False,0.2,False,0.2,AdaBoost,AdaBoost,False,0.2
4,4,13,0,3,41,1,9.0,False,False,0.09845496268011272,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
12,7,29,5,11,171,1,12.75,False,False,0.1021094120367813,False,0.1,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
5,6,15,3,5,48,0,8.6,False,False,0.0894755098996452,False,0.0,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.967053706610929e-09
35,16,103,0,28,824,1,22.11428571,True,True,0.6048584307660912,True,0.8,True,0.60435607626104,AdaBoost,AdaBoost,True,0.60435607626104
11,6,19,2,11,67,1,4.909090909,False,False,0.08160231709554634,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2204460492503185e-16
