cbo,rfc,loc,moa,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,14,39,2,1,False,False,0.10666329163593401,False,0.0,False,0.2131812007722025,Voting,Voting,False,0.10666329163593401
4,5,36,0,1,False,False,0.06845679800328996,False,0.0,False,0.04711339871582578,Voting,Voting,False,0.06845679800328996
49,89,583,24,5,False,True,0.6650247668821981,False,0.4,False,0.3390041905311664,Voting,Voting,True,0.6650247668821981
0,8,20,0,0,False,False,0.06371009678248493,False,0.0,False,0.03441860095944735,Voting,Voting,False,0.06371009678248493
3,8,73,0,3,False,False,0.0741513147866211,False,0.1,False,0.09940579281767764,Voting,Voting,False,0.0741513147866211
38,91,717,7,15,True,True,0.9855242590431258,True,0.6,False,0.4567595915846237,Voting,Voting,True,0.9855242590431258
0,3,3,0,1,False,False,0.059868292655409085,False,0.0,False,0.041541204413635464,Voting,Voting,False,0.059868292655409085
3,24,114,0,3,False,False,0.09986334394979014,False,0.0,False,0.2123053471716913,Voting,Voting,False,0.09986334394979014
2,7,30,0,3,False,False,0.07266814354274369,False,0.0,False,0.07704160847488112,Voting,Voting,False,0.07266814354274369
5,8,27,0,1,False,False,0.0754508660270455,False,0.0,False,0.04701052072102646,Voting,Voting,False,0.0754508660270455
1,25,283,0,2,False,False,0.08469353192065743,False,0.0,False,0.05162851739122259,Voting,Voting,False,0.08469353192065743
12,22,1700,3,1,True,True,0.6383870282987059,False,0.3,False,0.4123473881524451,Voting,Voting,True,0.6383870282987059
1,7,14,0,1,False,False,0.0666424170819748,False,0.0,False,0.01935507751358035,Voting,Voting,False,0.0666424170819748
0,0,0,0,0,False,False,0.05421305175929594,False,0.0,False,0.035857311207995964,Voting,Voting,False,0.05421305175929594
8,33,177,0,1,False,False,0.4546648002746617,True,0.8,False,0.4690177719325671,Voting,AdaBoost,False,0.4690177719325671
6,9,35,0,1,False,False,0.07879287925969224,False,0.2,False,0.2879918801525927,Voting,Voting,False,0.07879287925969224
3,15,17,0,1,False,False,0.08310544667101973,False,0.0,False,0.08321331443685373,Voting,Voting,False,0.08310544667101973
0,3,5,0,1,False,False,0.05978489086512845,False,0.0,False,0.04266335609503871,Voting,Voting,False,0.05978489086512845
20,145,1226,1,10,False,True,0.9740607410807484,True,0.6,True,0.7051678080130647,Voting,AdaBoost,True,0.7051678080130647
40,207,2594,9,41,True,True,0.9992927553698506,True,1.0,True,0.948135639199135,Voting,Voting,True,0.9992927553698506
0,2,10,0,0,False,False,0.0562567282961326,False,0.0,False,0.05543524606627578,Voting,Voting,False,0.0562567282961326
4,6,33,0,1,False,False,0.07006478347671248,False,0.0,False,0.036062330748567774,Voting,Voting,False,0.07006478347671248
9,93,995,2,6,False,True,0.7180237126459427,False,0.5,False,0.4737854915873004,Voting,Voting,True,0.7180237126459427
4,12,40,0,1,False,False,0.07908087466299578,False,0.0,False,0.08078677715033547,Voting,Voting,False,0.07908087466299578
2,31,259,0,5,False,False,0.10912811486815004,False,0.0,False,0.1199273608088541,Voting,Voting,False,0.10912811486815004
8,97,981,3,11,False,True,0.8563196256668961,True,0.8,True,0.5196187009955495,Voting,RandomForest,True,0.8
11,21,108,2,2,True,False,0.13549232872246406,False,0.5,False,0.3148474632313133,Voting,Voting,False,0.13549232872246406
0,5,28,1,1,False,False,0.06843085948480361,False,0.0,False,0.029812264350773682,Voting,Voting,False,0.06843085948480361
5,8,32,0,1,False,False,0.07520322611871336,False,0.0,False,0.04163679111405082,Voting,Voting,False,0.07520322611871336
0,3,5,0,1,False,False,0.05978489086512845,False,0.0,False,0.04266335609503871,Voting,Voting,False,0.05978489086512845
3,0,0,0,0,False,False,0.059142766403994684,False,0.06666666666666668,False,0.18435274754855693,Voting,Voting,False,0.059142766403994684
19,46,350,3,1,False,False,0.2442828733677788,False,0.0,False,0.3981931214167165,Voting,Voting,False,0.2442828733677788
2,5,11,0,1,False,False,0.06579206618353453,False,0.0,False,0.09139158004101207,Voting,Voting,False,0.06579206618353453
0,2,9,0,0,True,False,0.056296366285563185,False,0.0,False,0.05405620601586507,Voting,Voting,False,0.056296366285563185
9,36,181,0,1,False,False,0.13064635887907322,True,0.7,True,0.5720978881604414,Voting,RandomForest,True,0.7
2,7,29,0,1,False,False,0.06783911128003077,False,0.0,False,0.13682133615014566,Voting,Voting,False,0.06783911128003077
2,23,167,1,2,False,False,0.09860130561853048,False,0.5,True,0.5534825289041256,Voting,Voting,False,0.09860130561853048
4,11,24,0,1,False,False,0.07826913147446345,False,0.0,False,0.008796678807949947,Voting,Voting,False,0.07826913147446345
26,98,962,0,10,False,True,0.8968261534258929,False,0.4,True,0.7018618992855371,RandomForest,Voting,True,0.8968261534258929
2,4,31,0,2,False,False,0.06578981798899212,False,0.0,False,0.08500117756550159,Voting,Voting,False,0.06578981798899212
79,37,296,0,5,False,True,0.628380740597937,False,0.0,False,0.2581565363321837,Voting,Voting,True,0.628380740597937
35,12,77,0,4,False,False,0.2742007842298821,False,0.3,False,0.11642507245971175,Voting,Voting,False,0.2742007842298821
2,9,91,1,5,False,False,0.08643207351388857,False,0.0,False,0.06323829224220094,Voting,Voting,False,0.08643207351388857
2,6,21,1,1,False,False,0.0741783954470517,False,0.0,False,0.02651060160772053,Voting,Voting,False,0.0741783954470517
0,6,8,0,1,False,False,0.06368262859129202,False,0.0,False,0.038050026174399884,Voting,Voting,False,0.06368262859129202
14,71,836,6,6,False,True,0.5698835779729223,False,0.3,False,0.4630976197963513,Voting,RandomForest,False,0.3
3,9,59,1,2,False,False,0.08180081609322633,False,0.1,False,0.0615271510881483,Voting,Voting,False,0.08180081609322633
18,5,5,0,1,False,False,0.10534671678485363,False,0.0,False,0.06784759931228232,Voting,Voting,False,0.10534671678485363
4,25,331,0,5,False,False,0.09819568779878544,False,0.0,False,0.02372499290313341,Voting,Voting,False,0.09819568779878544
2,11,56,0,1,False,False,0.07254747836692782,False,0.0,False,0.09903951020148813,Voting,Voting,False,0.07254747836692782
2,20,92,1,2,False,False,0.09724316888010848,False,0.1,False,0.2457399243042525,Voting,Voting,False,0.09724316888010848
7,8,44,0,1,False,False,0.07891469405687887,False,0.1,False,0.3325293101262878,Voting,Voting,False,0.07891469405687887
