wmc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,True,False,0.3754140284289336,True,0.5833333333333333,True,0.5020646773118027,RandomForest,RandomForest,True,0.5833333333333333
2,True,False,0.39598944214294735,False,0.375,False,0.4987572025258039,RandomForest,RandomForest,False,0.375
7,False,False,0.3236554995316331,False,0.31833333333333336,False,0.4950168741011727,RandomForest,RandomForest,False,0.31833333333333336
8,True,False,0.3098519127946445,False,0.3202777777777778,False,0.4940222647723322,RandomForest,RandomForest,False,0.3202777777777778
2,True,False,0.39598944214294746,True,0.55,False,0.4949818592241434,RandomForest,RandomForest,True,0.55
86,True,True,0.9962213458968628,True,1.0,True,0.8678436389192168,RandomForest,RandomForest,True,1.0
1,False,False,0.4254418757039361,True,0.5183333333333333,True,0.5056415352567889,Voting,Voting,False,0.4254418757039361
10,True,False,0.22839999429257296,False,0.18,False,0.15320900800104476,RandomForest,RandomForest,False,0.18
4,True,False,0.2122847153166305,False,0.1,False,0.10942707985947424,RandomForest,RandomForest,False,0.1
7,False,False,0.3090269520543058,False,0.3316666666666667,False,0.4936175476632401,RandomForest,RandomForest,False,0.3316666666666667
7,True,False,0.2662323288414641,False,0.10071428571428573,False,0.4895040559667461,RandomForest,RandomForest,False,0.10071428571428573
4,False,False,0.3870367952619041,False,0.2833333333333333,True,0.5006803974276829,RandomForest,RandomForest,False,0.2833333333333333
6,True,False,0.3754140284289336,False,0.4533333333333333,False,0.4977272797139881,RandomForest,RandomForest,False,0.4533333333333333
14,False,False,0.3058116528726709,False,0.0,False,0.10675304535776002,RandomForest,RandomForest,False,0.0
6,False,True,0.5478631633850038,True,1.0,True,0.9936147952565476,RandomForest,RandomForest,True,1.0
7,False,False,0.3276602687656423,False,0.3461399711399712,False,0.4973045691105859,RandomForest,RandomForest,False,0.3461399711399712
5,True,False,0.20913581496217049,False,0.10357142857142856,False,0.1547959315330929,RandomForest,RandomForest,False,0.10357142857142856
14,False,False,0.29044126822363875,False,0.1,False,0.11583193442090607,RandomForest,RandomForest,False,0.1
4,False,False,0.3810716867238804,False,0.48,True,0.5014009341359192,RandomForest,RandomForest,False,0.48
5,False,True,0.5481582027412089,False,0.41,True,0.8238773685230522,RandomForest,RandomForest,False,0.41
24,True,True,0.8835713205499194,True,0.95,True,0.8299785272577175,RandomForest,RandomForest,True,0.95
21,True,True,0.8385678540604641,True,0.975,True,0.83797182763813,RandomForest,RandomForest,True,0.975
7,False,False,0.3090269520543058,False,0.34968253968253965,False,0.4948897087125014,RandomForest,RandomForest,False,0.34968253968253965
13,False,False,0.2638184756607228,False,0.0,False,0.12549351610940024,RandomForest,RandomForest,False,0.0
7,False,False,0.3257592821125571,False,0.4089682539682539,False,0.4953338270005131,RandomForest,RandomForest,False,0.4089682539682539
51,True,True,0.9663781039997756,True,0.9428571428571428,True,0.8270002222463181,RandomForest,RandomForest,True,0.9428571428571428
21,True,True,0.8385678540604641,True,0.9666666666666668,True,0.8505799869373074,RandomForest,RandomForest,True,0.9666666666666668
15,True,False,0.4781502361257304,False,0.475,True,0.5010506675303772,AdaBoost,RandomForest,False,0.4834743135339781
7,True,False,0.26623232884146397,False,0.1319047619047619,False,0.4802872730579697,RandomForest,RandomForest,False,0.1319047619047619
2,False,True,0.5913601632455115,True,0.9,True,0.7579879315000088,RandomForest,RandomForest,True,0.9
15,False,True,0.6771884765744233,True,0.9,True,0.8146306348534705,RandomForest,RandomForest,True,0.8718562532483969
9,False,True,0.5570043003449829,True,0.9166666666666666,True,0.9853023142581948,RandomForest,RandomForest,True,0.9166666666666666
10,False,True,0.5635599522095593,True,0.9,True,0.933931166561006,RandomForest,RandomForest,True,0.9
17,False,True,0.7699188016917953,True,0.9,True,0.8168244661751128,RandomForest,RandomForest,True,0.9
9,True,False,0.2205105633477913,False,0.34,False,0.2423322557370224,RandomForest,RandomForest,False,0.34
17,True,True,0.5408303006211268,False,0.325,True,0.5017102406102844,RandomForest,RandomForest,False,0.325
15,True,False,0.4781502361257304,True,0.5166666666666666,False,0.4991801878824999,RandomForest,RandomForest,True,0.5108378404052777
17,True,True,0.5408303006211268,True,0.6133333333333333,True,0.5019176869892281,RandomForest,RandomForest,True,0.6133333333333333
16,False,True,0.5851343876603531,True,0.7130952380952379,True,0.5182180752636415,RandomForest,RandomForest,True,0.7130952380952379
