cbo,rfc,ce,npm,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
6,19,6,6,0.3666666670000001,False,False,0.06496275988574664,False,0.0,False,0.16192382957620222,AdaBoost
1,17,1,12,0.46153846200000004,False,False,0.033552650421338794,False,0.0,False,0.06603732035481949,AdaBoost
48,12,1,6,0.45833333299999995,False,False,0.018861355996064925,False,0.0,False,0.14098087521758731,AdaBoost
4,4,2,4,1.0,False,False,0.01685597307945489,False,0.0,False,0.19736976915528776,AdaBoost
2,8,1,4,0.666666667,False,False,0.023265567365010814,False,0.0,False,0.090723793570193,AdaBoost
8,14,5,3,0.5,True,False,0.042784891922563316,False,0.0,False,0.2420975214799917,AdaBoost
2,6,1,5,0.46666666700000003,False,False,0.032884785773650844,False,0.0,False,0.1502933488337017,AdaBoost
6,31,6,9,0.355555556,True,False,0.06879778649002855,False,0.0,False,0.3514902826525073,AdaBoost
6,9,3,9,0.425925926,False,False,0.046082547936299255,False,0.2,False,0.4382962156986376,AdaBoost
6,19,2,15,0.20952381,False,False,0.05432848098138384,False,0.0,False,0.11215220256679227,AdaBoost
1,34,1,29,0.433333333,False,False,0.025038450561114967,False,0.2,False,0.10613703291535068,AdaBoost
30,155,30,34,0.138314785,True,False,0.4455719403186915,False,0.1,False,0.38456934439718893,AdaBoost
4,19,2,10,0.35,False,False,0.04252074979524459,False,0.0,False,0.4047932096651884,AdaBoost
3,9,3,3,0.5,False,False,0.03824341266355283,False,0.09166666666666666,False,0.19918434873453908,AdaBoost
8,18,1,11,0.287878788,False,False,0.04358531545953683,False,0.0,False,0.06589733092758253,AdaBoost
14,29,9,6,0.44,False,False,0.0878337214540968,False,0.1,False,0.2076543572723732,AdaBoost
3,10,3,3,0.833333333,False,False,0.02352337892371996,False,0.06666666666666668,False,0.08297167693607238,AdaBoost
29,121,29,31,0.165966387,True,False,0.4825778703353082,False,0.1,False,0.3161299897602569,AdaBoost
6,35,6,13,0.259615385,False,False,0.08585226179918211,False,0.0,False,0.14097219883368786,AdaBoost
2,2,2,1,1.0,False,False,0.018827707839782732,False,0.0,False,0.06733277767772793,AdaBoost
13,7,0,7,0.46428571399999996,False,False,0.3616900540175461,False,0.2,False,0.3859034359656575,AdaBoost
