dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
3,0,7,0,1,4,0.36,1,2,7.4,0.6,False,False,0.3745780646865326,False,0.4,False,0.494401524035437,AdaBoost
1,0,3,4,1,3,0.5,0,0,3.0,0.5,False,False,0.044209745844745116,False,0.0,False,0.04835101980279508,AdaBoost
4,0,26,144,2,13,0.19736842100000002,4,5,20.3,1.0,False,False,0.020240431984902555,False,0.0,False,0.4119332136791042,AdaBoost
2,0,8,3,2,2,0.666666667,1,3,54.0,5.3333,True,False,0.4663709757929678,True,0.7,False,0.4865904075521161,RandomForest
1,0,25,22,22,6,0.25,0,0,20.875,0.75,True,False,0.4182255502479579,True,0.7,False,0.4365822506717803,RandomForest
1,0,6,3,5,3,1.0,0,0,0.0,1.0,False,False,0.03664557960621775,False,0.0,False,0.1989789475402905,AdaBoost
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False,False,0.0211929133220562,False,0.1,False,0.06835067013047652,AdaBoost
1,0,9,15,2,6,0.333333333,0,0,6.666666667,1.3333,True,False,0.0718585360537397,False,0.1,False,0.2647557094179585,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.05244540653357449,False,0.0,False,0.0633211220801486,AdaBoost
1,0,7,6,0,3,0.375,0,0,4.5,0.75,False,False,0.04990485608039905,False,0.1,False,0.12405908299233165,AdaBoost
1,0,11,45,1,9,0.15,0,0,4.2,0.9,True,False,0.07089324267309212,False,0.1,False,0.2945118037355172,AdaBoost
3,0,10,25,3,7,0.3,2,3,15.4,0.9,False,False,0.03701573627397045,False,0.0,False,0.17906075665988858,AdaBoost
2,0,13,201,2,21,0.17676767699999998,1,1,10.13043478,0.8696,False,False,0.07819068953434538,False,0.1,False,0.39787298676163424,AdaBoost
4,0,18,22,4,7,0.3125,0,0,16.5,0.75,False,False,0.09296931321640456,False,0.2,False,0.4518887616620826,AdaBoost
3,0,3,6,0,8,0.4166666670000001,1,2,7.888888888999999,0.8889,True,False,0.05119944022251683,False,0.1,False,0.09516531257463087,AdaBoost
1,2,8,3,2,2,0.533333333,0,0,31.0,1.6667,False,False,0.08075408435672675,False,0.5,False,0.4757099830835709,AdaBoost
4,0,6,5,1,8,0.25,2,2,15.4,1.1,True,False,0.0641478293603736,False,0.1,False,0.3688293710053142,AdaBoost
