wmc,cbo,rfc,ce,npm,loc,moa,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
28,32,82,7,24,926,0,31.64285714,True,False,0.2199788054811076,False,0.4,False,0.4421501809987716,AdaBoost
6,3,7,1,4,36,0,4.666666667,False,False,0.02106631676030913,False,0.2,True,0.5359619088054379,AdaBoost
4,5,6,4,2,21,1,4.0,False,False,0.0264334849673086,False,0.0,False,0.06699516557271247,AdaBoost
4,9,4,0,4,4,0,0.0,False,False,0.3503452146394008,False,0.4,True,0.5947923238310794,AdaBoost
1,8,1,2,1,1,0,0.0,False,False,0.017967176145241025,False,0.0,False,0.1654219909225446,AdaBoost
23,150,67,5,20,653,1,26.86956522,True,False,0.33626448689331384,False,0.0,False,0.12302038900753905,AdaBoost
5,8,26,7,4,127,2,23.6,False,False,0.03941514634977098,False,0.1,False,0.4971783084576094,AdaBoost
25,18,73,0,18,666,0,25.32,True,False,0.06520302242330465,False,0.1,False,0.29382573974591936,AdaBoost
7,2,13,1,7,86,0,10.42857143,False,False,0.019781342758495645,False,0.0,False,0.04771721234111185,AdaBoost
21,7,22,2,21,141,2,5.2380952380000005,False,False,0.019844833925022096,False,0.1,False,0.07026728872389526,AdaBoost
2,2,4,1,2,11,0,4.5,False,False,0.0204336068266402,False,0.0,False,0.14561052014112813,AdaBoost
8,10,21,5,7,130,0,15.25,False,False,0.01994017597213044,False,0.0,False,0.05496415315844783,AdaBoost
32,16,81,0,27,504,0,14.34375,False,False,0.06998814741353454,False,0.0,False,0.10436106020914723,AdaBoost
13,4,44,2,9,208,0,14.84615385,False,False,0.04585075427347416,False,0.0,False,0.09051898846956076,AdaBoost
19,8,42,7,3,329,1,16.05263158,True,False,0.08413757112533786,False,0.2,False,0.2733117064280879,AdaBoost
2,6,21,3,1,144,0,71.0,False,False,0.016654357339549914,False,0.0,False,0.08077909284467394,AdaBoost
1,4,1,2,1,1,0,0.0,False,False,0.019489090963501432,False,0.0,False,0.12502848469014324,AdaBoost
25,10,58,4,23,257,1,9.08,False,False,0.03932994583368839,False,0.1,False,0.04885929254060038,AdaBoost
8,12,29,5,8,126,1,14.625,False,False,0.028501093633017425,False,0.0,False,0.0353221978308314,AdaBoost
5,26,11,2,5,41,1,6.8,False,False,0.01635852393033102,False,0.0,False,0.2172614052953307,AdaBoost
3,7,8,0,3,34,0,10.33333333,False,False,0.018942479362498158,False,0.0,False,0.030220906783442907,AdaBoost
4,6,10,5,1,27,1,5.5,False,False,0.03061557904529108,False,0.0,False,0.05051258861101655,AdaBoost
5,6,6,1,5,32,1,5.0,False,False,0.021751571900966257,False,0.2,False,0.1824099642626475,AdaBoost
2,4,3,1,1,8,1,2.5,False,False,0.026663454336550558,False,0.0,False,0.07735787277181047,AdaBoost
1,4,1,1,1,1,0,0.0,False,False,0.01977540769478805,False,0.0,False,0.17498326443369774,AdaBoost
10,27,19,2,10,138,1,12.3,False,False,0.3485997005216541,False,0.1,False,0.10438513222646437,AdaBoost
12,3,25,0,12,67,0,4.583333333,False,False,0.023120897457472724,False,0.3,False,0.3056358476130961,AdaBoost
5,14,21,3,5,75,0,13.8,False,False,0.020399188218651703,False,0.0,False,0.10720940164478686,AdaBoost
54,17,137,0,16,1589,1,27.796296299999998,False,True,0.6279824396138205,True,0.7,False,0.4707538475234202,AdaBoost
5,4,9,3,5,61,0,10.2,False,False,0.018062112050576205,False,0.0,False,0.07418670764670053,AdaBoost
37,26,120,26,24,1123,0,29.10810811,True,False,0.4420579231788848,True,0.6,False,0.31940149811023033,RandomForest
10,9,15,6,8,67,1,5.3,False,False,0.02280065815772403,False,0.0,False,0.09611679551102892,AdaBoost
8,6,32,6,4,221,0,26.375,False,False,0.03384427413224104,False,0.2,False,0.19751843716098352,AdaBoost
2,4,5,2,1,19,1,8.0,False,False,0.02636228559680568,False,0.0,False,0.037205736777420416,AdaBoost
20,8,29,3,20,188,1,8.0,False,False,0.019052347000419374,False,0.3,False,0.2845176851321509,AdaBoost
3,3,4,1,2,16,0,4.0,False,False,0.02076151457801564,False,0.0,False,0.12649735988569316,AdaBoost
3,9,23,8,2,125,2,39.66666667,False,False,0.024547001247487068,False,0.1,False,0.06550074301144028,AdaBoost
8,32,104,29,3,955,2,118.0,True,False,0.43547759664418334,False,0.2,False,0.3949403776844272,AdaBoost
8,16,52,0,5,336,1,40.625,False,False,0.3870409168855473,True,0.6,True,0.784904955246158,Voting
7,5,20,4,5,110,0,14.0,False,False,0.0248676826775588,False,0.0,False,0.18375544625381526,AdaBoost
3,16,38,0,1,159,0,52.0,False,False,0.03425790469549077,False,0.0,False,0.09290929266961667,AdaBoost
5,6,24,0,5,88,0,16.2,False,False,0.02645247182054893,False,0.1,False,0.20048639728768308,AdaBoost
9,20,71,20,5,476,0,51.88888889,False,False,0.4124342937445857,False,0.1,False,0.4831025254942558,AdaBoost
16,27,123,23,2,1851,0,114.6875,False,True,0.5753151874610456,False,0.3,False,0.3811624729212981,AdaBoost
4,5,22,2,3,100,0,24.0,False,False,0.0252918246099616,False,0.2,False,0.040433606287557135,AdaBoost
23,10,74,9,14,608,0,25.08695652,False,False,0.4098205420103905,True,0.6,True,0.6731729381886499,Voting
7,7,34,6,2,288,1,39.85714286,False,False,0.03657139266375126,False,0.1,False,0.41425456849287373,AdaBoost
10,10,38,0,9,207,0,19.3,False,False,0.03318914332131631,False,0.0,False,0.05357630785228228,AdaBoost
3,4,19,3,3,57,0,17.66666667,False,False,0.02362528761257146,False,0.0,False,0.014365950822502619,AdaBoost
1,5,1,2,1,1,0,0.0,False,False,0.022572762871217348,False,0.0,False,0.05030764195076705,AdaBoost
11,4,25,1,7,215,0,18.0,False,False,0.02804088511590849,False,0.1,False,0.07293520233919279,AdaBoost
4,2,6,1,3,23,1,4.5,False,False,0.02212693542772885,False,0.0,False,0.017267869211097388,AdaBoost
11,2,15,0,11,95,0,7.272727272999999,False,False,0.0175123330354921,False,0.0,False,0.11571157286792537,AdaBoost
18,23,83,5,15,638,0,34.33333333,False,False,0.09589757267529714,False,0.4,False,0.2428653968917418,AdaBoost
11,7,27,0,10,85,0,6.6363636360000005,False,False,0.3581202673431761,False,0.3,False,0.22421861590318384,AdaBoost
4,4,13,0,3,41,1,9.0,False,False,0.02532710919117641,False,0.0,False,0.05183473813638068,AdaBoost
12,7,29,5,11,171,1,12.75,False,False,0.0247265400526876,False,0.0,False,0.053800095310003376,AdaBoost
5,6,15,3,5,48,0,8.6,False,False,0.022551250645139725,False,0.0,False,0.1533380392638258,AdaBoost
35,16,103,0,28,824,1,22.11428571,True,True,0.6840039301182496,False,0.3,True,0.5151270928391574,AdaBoost
11,6,19,2,11,67,1,4.909090909,False,False,0.02009476122851841,False,0.0,False,0.010560360914126984,AdaBoost
74,40,190,30,72,1443,8,18.17567568,True,True,0.7837816431828593,False,0.5,True,0.6025764479164151,AdaBoost
9,19,39,13,5,178,1,18.55555556,True,False,0.04142028560094542,False,0.1,False,0.2066583267238701,AdaBoost
13,28,37,6,6,172,1,12.0,False,False,0.3846292184734543,False,0.1,False,0.10350783434677764,AdaBoost
5,3,13,2,5,48,0,8.4,False,False,0.02117718028864983,False,0.0,False,0.1764509274906619,AdaBoost
4,11,17,3,2,77,1,18.0,False,False,0.0287152292676808,False,0.0,False,0.003796431730922268,AdaBoost
9,83,9,3,9,9,0,0.0,False,True,0.7092162574099742,False,0.3,False,0.3398004885016427,AdaBoost
7,3,22,0,7,68,0,8.714285713999999,False,False,0.023604598816313608,False,0.2,False,0.17625606561814094,AdaBoost
15,9,40,7,12,286,1,17.86666667,False,False,0.03200348801321632,False,0.1,False,0.2098638364485292,AdaBoost
27,33,78,13,24,394,5,13.37037037,False,True,0.7159121717561431,False,0.3,False,0.4033625012497637,AdaBoost
31,97,31,16,31,33,0,0.0,False,False,0.3585796226737991,False,0.1,False,0.025759108874066638,AdaBoost
9,17,28,8,7,127,1,12.88888889,False,False,0.03136848541209581,False,0.0,False,0.16030369327685792,AdaBoost
