dit,rfc,lcom,ca,npm,lcom3,loc,dam,cbm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,60,90,1,38,0.838141026,786,0.9375,6,True,True,0.9785192459517998,True,1.0,True,0.8901300563978485,RandomForest
1,36,164,31,18,0.842105263,141,1.0,0,False,False,0.14808297859220804,True,0.6,False,0.4914471178221496,RandomForest
1,52,86,4,16,0.673913043,451,0.833333333,0,True,True,0.6107332559554969,False,0.5,True,0.6200285847963635,RandomForest
2,28,72,1,14,0.933333333,254,0.333333333,6,True,True,0.8999114160031301,True,1.0,True,0.8308312281214169,RandomForest
2,20,4,2,7,0.8,148,0.6,2,True,True,0.6965430560485136,True,0.8,True,0.6672063232915393,RandomForest
2,21,49,2,9,0.85,106,0.5,6,True,True,0.8689465315456656,True,1.0,True,0.9298529217908532,RandomForest
3,4,1,5,3,2.0,24,0.0,0,False,False,0.1830524584192683,False,0.2,False,0.4621748940915836,RandomForest
2,59,20,2,4,0.8214285709999999,267,1.0,1,False,True,0.7277076573265849,True,0.6,False,0.4724620501189074,AdaBoost
1,24,6,2,11,0.787878788,156,0.0,0,True,True,0.5433977140906073,True,0.7,True,0.7135790868203415,RandomForest
2,37,0,7,6,0.35714285700000004,278,1.0,1,True,False,0.27329004608014856,False,0.4,False,0.4231247261637743,RandomForest
1,30,88,1,14,0.683333333,250,0.0,0,True,False,0.23196301595397606,False,0.5,False,0.20368445225756726,RandomForest
2,51,89,3,22,0.721088435,417,0.857142857,2,True,True,0.8698747922015281,False,0.5,True,0.819804539702159,RandomForest
2,40,258,4,23,0.7583333329999999,390,0.8,6,True,True,0.9372276769067808,True,1.0,True,0.9871754561115909,RandomForest
2,85,611,1,60,0.953972257,1390,0.5,6,True,True,0.9905430683905706,True,1.0,True,0.6519115754001901,RandomForest
2,32,79,4,13,0.7857142859999999,251,0.666666667,6,True,True,0.8946757002152533,True,1.0,True,0.9394432268417704,RandomForest
2,37,0,1,18,0.684210526,321,0.833333333,6,True,True,0.9183327354757701,True,1.0,True,0.9314111638980038,RandomForest
1,0,0,0,0,2.0,4,0.0,0,False,False,0.06527123646157124,False,0.1,False,0.1064919107329628,RandomForest
2,20,0,2,10,0.0,53,1.0,2,True,False,0.2506938996692772,False,0.2,False,0.2577527310085558,RandomForest
2,22,54,2,10,0.818181818,117,0.5,6,True,True,0.8748377793432008,True,1.0,True,0.9433195284125436,RandomForest
1,244,0,6,79,0.9259510870000001,1441,0.4375,0,True,True,0.9984670484988474,True,0.8,True,0.7270255033137715,RandomForest
1,1,0,6,1,2.0,1,0.0,0,False,False,0.06601942376149686,False,0.0,False,0.06334433284432801,RandomForest
3,126,130,3,10,1.047117794,1170,0.019047619,7,True,True,0.9974010339694792,True,0.8,True,0.9076551144332884,RandomForest
