dit,rfc,lcom3,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
1,10,2.0,False,False,0.016883558193547674,False,0.0,False,2.2204460492503185e-16,RandomForest
1,1,2.0,False,False,0.015597676649843118,False,0.0,False,7.025912240707564e-05,RandomForest
5,67,0.7613636359999999,False,False,0.4735556268740357,False,0.2,False,7.450580541412699e-09,RandomForest
1,2,2.0,False,False,0.015734485104173992,False,0.0,False,2.2204460492503185e-16,RandomForest
1,22,0.833333333,False,False,0.13257914070584667,False,0.0,False,0.14285714285714285,RandomForest
1,2,2.0,False,False,0.015734485104188463,False,0.0,False,2.2204460492503185e-16,RandomForest
5,60,0.841666667,False,True,0.7865323645008376,False,0.5,True,0.6666666664619135,RandomForest
1,50,1.05,True,False,0.4399275709749539,False,0.3,False,0.33738635424337604,RandomForest
6,25,0.0,True,False,0.13650309123445686,False,0.4,False,0.3170854499846084,RandomForest
6,48,0.7857142859999999,True,False,0.4117463561956338,False,0.2,True,0.6000000000000001,AdaBoost
1,16,2.0,False,False,0.01781650233474595,False,0.0,False,1.286219738990405e-12,RandomForest
1,2,2.0,False,False,0.015734485104173992,False,0.0,False,2.2204460492503185e-16,RandomForest
3,2,2.0,False,False,0.019812176527809332,False,0.0,False,2.2204460492503185e-16,RandomForest
5,60,0.571428571,False,True,0.8263023514955848,True,0.8,True,0.7,RandomForest
2,7,0.916666667,False,False,0.08131760136047196,False,0.0,False,0.10000000000000002,RandomForest
1,3,2.0,False,False,0.015874597263175694,False,0.0,False,2.0179468813425996e-11,RandomForest
1,53,0.844827586,True,True,0.5309188817972189,False,0.4,True,0.7101020514433645,RandomForest
1,30,0.0,False,False,0.21784415772634724,False,0.3,False,0.2,RandomForest
3,2,2.0,False,False,0.019812176527797785,False,0.0,False,2.2204460492503185e-16,RandomForest
1,5,2.0,False,False,0.016153621534475658,False,0.0,False,2.2204460492503185e-16,RandomForest
1,46,0.5,False,True,0.6511495231777505,True,0.6,True,0.8,RandomForest
3,2,2.0,False,False,0.01981217652779883,False,0.0,False,2.2204460492503185e-16,RandomForest
1,57,0.8222222220000001,False,False,0.28303787336160835,False,0.3,False,0.2,RandomForest
1,23,1.333333333,False,False,0.0465698975248065,False,0.0,False,2.194855942110509e-06,RandomForest
5,109,0.763736264,False,True,0.5486859935919194,False,0.3,False,0.2768816278401076,RandomForest
1,32,2.0,False,False,0.020637006640101232,False,0.3,False,0.4000000000000001,RandomForest
1,25,0.675,False,True,0.5160763037897581,True,0.6,True,0.7101020514433645,RandomForest
3,2,2.0,False,False,0.019812176527796942,False,0.0,False,2.2204460492503185e-16,RandomForest
1,10,0.666666667,False,False,0.11269912994648715,False,0.2,False,0.29999999999999993,RandomForest
5,67,0.775119617,False,False,0.4714451155352926,False,0.1,False,0.0035250360616310163,RandomForest
1,2,2.0,False,False,0.015734485104191436,False,0.0,False,2.328306402995491e-10,RandomForest
1,27,0.75,True,False,0.13130857177063399,False,0.3,False,0.24829914418188095,RandomForest
2,8,0.931818182,False,False,0.08121405921418234,False,0.0,False,2.0272322247067002e-07,RandomForest
1,22,2.0,False,False,0.018813328754794276,False,0.0,False,4.787529488666054e-07,RandomForest
1,9,2.0,False,False,0.01673460725523544,False,0.0,False,2.2204460492503185e-16,RandomForest
1,12,0.8,False,False,0.10055759264463683,False,0.1,False,1.833911800828176e-06,RandomForest
1,53,0.64,True,False,0.25117943865034564,False,0.5,False,0.001097828667807159,RandomForest
5,80,0.847619048,True,False,0.2925242275392533,False,0.2,False,0.1270924912013543,RandomForest
5,61,0.675,True,False,0.4294567987633173,False,0.2,False,4.967053706610929e-09,RandomForest
2,26,0.7,True,False,0.15436299004965168,False,0.1,False,2.2204460492503185e-16,RandomForest
1,3,2.0,False,False,0.01587459726319729,False,0.0,False,2.2204460492503185e-16,RandomForest
2,30,0.7333333329999999,False,True,0.5498537676190318,True,0.9,False,0.5,AdaBoost
1,7,2.0,False,False,0.01644094356868708,False,0.0,False,2.2204460492503185e-16,RandomForest
1,74,0.816666667,False,False,0.3189941639585627,False,0.2,False,0.2,RandomForest
1,40,0.962566845,False,False,0.17086891004297855,False,0.2,False,0.4977270359597193,RandomForest
