cbo,rfc,ce,npm,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
6,19,6,6,0.3666666670000001,False,False,0.2890003350101236,False,0.0,False,0.1726252153616373,AdaBoost
1,17,1,12,0.46153846200000004,False,False,0.1510427823491726,False,0.0,False,0.040902569835244686,AdaBoost
48,12,1,6,0.45833333299999995,False,False,0.0539928711366682,False,0.1,False,0.3111488947012124,AdaBoost
4,4,2,4,1.0,False,False,0.061770458518221286,False,0.1,False,0.09935115391741396,AdaBoost
2,8,1,4,0.666666667,False,False,0.0766173548331854,False,0.0,False,0.08282722339060301,AdaBoost
8,14,5,3,0.5,True,False,0.17421074615678644,False,0.0,False,0.20484579236031408,AdaBoost
2,6,1,5,0.46666666700000003,False,False,0.12927275784298622,False,0.0,False,0.15900622739958245,AdaBoost
6,31,6,9,0.355555556,True,False,0.3149061256555437,False,0.0,False,0.16382481110925876,AdaBoost
6,9,3,9,0.425925926,False,True,0.5649641989492639,False,0.4,True,0.6137069884994293,RandomForest
6,19,2,15,0.20952381,False,False,0.2830143906825057,False,0.2,False,0.1545869761528208,AdaBoost
1,34,1,29,0.433333333,False,False,0.13714509341297298,False,0.0,False,0.13289813613372986,AdaBoost
30,155,30,34,0.138314785,True,True,0.6256048485678368,False,0.1,False,0.15350343832274066,Voting
4,19,2,10,0.35,False,True,0.5395639495637345,False,0.1,False,0.296832506393406,AdaBoost
3,9,3,3,0.5,False,False,0.14291756716886694,False,0.1,False,0.2657876942166273,AdaBoost
8,18,1,11,0.287878788,False,False,0.2260417206169293,False,0.1,False,0.2561706007564061,AdaBoost
14,29,9,6,0.44,False,False,0.374295213444557,False,0.4,False,0.16489584079215425,AdaBoost
3,10,3,3,0.833333333,False,False,0.08021583482577528,False,0.1,False,0.3166359532709693,AdaBoost
29,121,29,31,0.165966387,True,True,0.6522314773020201,False,0.1,False,0.2495841972157831,Voting
6,35,6,13,0.259615385,False,False,0.3780357048711074,False,0.1,False,0.1729777714509713,AdaBoost
2,2,2,1,1.0,False,False,0.06348281233240598,False,0.0,False,0.09467589046461226,AdaBoost
13,7,0,7,0.46428571399999996,False,False,0.13747182705285685,False,0.2,False,0.3052387747813621,AdaBoost
6,15,1,9,0.36111111100000004,False,False,0.1825181606682608,False,0.1,False,0.11163582251880097,AdaBoost
17,46,17,17,0.21176470600000002,True,True,0.9741586879906358,True,1.0,True,0.7173084992978199,AdaBoost
4,15,0,8,0.34375,False,False,0.14680440283865928,False,0.1,False,0.04169205222293272,AdaBoost
3,7,0,2,0.444444444,False,False,0.07348630611463243,False,0.0,False,0.12710716028575011,AdaBoost
18,41,18,4,0.5,False,True,0.9424951285410376,False,0.5,False,0.3456101068392443,AdaBoost
1,2,0,1,1.0,False,False,0.037170718246243975,False,0.0,False,0.04403933515625609,AdaBoost
8,42,8,13,0.24175824199999998,False,False,0.4056499966083449,False,0.0,False,0.0779552374288485,AdaBoost
3,5,3,3,0.5,True,False,0.3050438610826945,False,0.4083333333333333,False,0.4996499588428116,AdaBoost
2,2,2,1,1.0,False,False,0.0605589263530785,False,0.0,False,0.040039588645473564,AdaBoost
3,1,1,1,1.0,False,False,0.04765627200114634,False,0.1,False,0.12770971366727987,AdaBoost
5,14,2,8,0.40625,False,False,0.1386875359276534,False,0.1,False,0.3962962878348974,AdaBoost
4,2,2,2,0.666666667,False,False,0.09317897833151396,False,0.0,False,0.0039669616335034465,AdaBoost
