rfc,moa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
16,0,False,False,0.2797084396916327,False,0.20555555555555555,False,0.4892175743292242,Voting
8,0,False,False,0.16436079513979873,False,0.0,False,0.4900282915880251,Voting
55,0,True,False,0.2001202485269724,True,0.6730952380952381,False,0.000978567107434802,RandomForest
36,0,False,False,0.18243002543636516,False,0.5,False,0.013143228213082482,Voting
29,0,False,False,0.17706168385914434,False,0.0,False,0.0076243384008849785,Voting
6,0,False,False,0.1634211524360091,False,0.0,False,0.061038231135703974,Voting
13,1,False,False,0.17316392170653125,False,0.0,False,0.09612606292224243,Voting
125,6,False,True,0.8685830950488843,True,1.0,True,0.9256110640080132,Voting
11,0,False,False,0.16586085923187274,False,0.021428571428571432,False,0.04908169331208366,Voting
269,2,False,True,0.6104883435252448,False,0.2,False,0.23154005224409,Voting
7,0,False,False,0.16388487129940232,False,0.14523809523809522,False,0.4912863785380407,Voting
15,0,False,False,0.234693361620568,False,0.0,False,0.019101171134031283,Voting
14,1,False,False,0.1737164292413282,False,0.0,False,0.09670424790683864,Voting
26,0,False,False,0.17493617957911392,False,0.2219047619047619,False,0.4899012131328805,Voting
15,0,False,False,0.234693361620568,False,0.0,False,0.019101171134031283,Voting
8,0,False,False,0.16436079513979873,False,0.0,False,0.4900282915880251,Voting
9,0,False,False,0.16484882682847005,False,0.0,False,0.033903843133607704,Voting
56,3,False,False,0.2527672635764069,False,0.0,False,0.07447040493748862,Voting
36,0,False,False,0.18243002543636516,False,0.5,False,0.013143228213082482,Voting
3,0,False,False,0.1621043002008288,False,0.0,False,0.051270042408421035,Voting
114,5,False,True,0.8147401737798199,True,0.8,True,0.7979771977486841,Voting
5,0,False,False,0.1629697425369046,False,0.0,False,0.016629215003443942,Voting
12,0,False,False,0.16638469955080334,False,0.050202020202020206,False,0.05725702787911571,Voting
