dit,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
1,2.12962963,False,False,0.047970377876879466,False,0.0,False,0.012436005222181015,RandomForest
4,105.5,True,True,0.981968300838116,True,1.0,True,0.9671267523196998,RandomForest
4,41.0,False,True,0.8084741401209737,True,0.9,True,0.7979783100485536,RandomForest
2,6.5,False,False,0.06498414089698704,False,0.0,False,0.013678009626638562,RandomForest
4,129.0,True,True,0.9905072977188328,True,1.0,True,0.9345488521465564,RandomForest
1,45.2,False,False,0.19695095896753506,False,0.1,False,0.21589006504209388,RandomForest
2,84.42857143,True,False,0.2650796029166911,False,0.3,False,0.2310888072290495,RandomForest
4,21.0,False,False,0.462028272586084,False,0.375,True,0.5003419810412879,RandomForest
2,12.71428571,False,False,0.06575394423459034,False,0.0,False,0.016671153954766142,RandomForest
4,66.0,True,True,0.5974946513760387,True,0.7,True,0.5563394021614285,RandomForest
3,43.33333333,False,False,0.3784351635369425,False,0.0,False,0.058263676787914075,RandomForest
2,17.375,False,False,0.09522379328500008,False,0.0,False,0.042023277350674536,RandomForest
2,12.71428571,False,False,0.0726731816778476,False,0.0,False,0.08464378385075379,RandomForest
2,49.16666667,False,False,0.22062328588397154,False,0.1,False,0.2591753779148663,RandomForest
3,26.5,False,False,0.15695451634104268,False,0.2,False,0.294381325952763,RandomForest
4,23.0,True,False,0.08070916192869086,False,0.1,False,0.10000000000000002,RandomForest
1,2.086956522,False,False,0.04013145139327788,False,0.0,False,0.014344681812044825,RandomForest
1,22.66666667,False,False,0.09174223493923392,False,0.0,False,0.09379329443407868,RandomForest
4,30.5,False,True,0.6686409431069308,True,1.0,True,0.7307018944433483,RandomForest
1,2.055555556,False,False,0.03855519466998216,False,0.0,False,0.026149729014770664,RandomForest
3,3.0,False,False,0.13787406089046353,False,0.0,False,0.04296178426777785,RandomForest
4,23.0,False,True,0.6710851368716435,True,1.0,True,0.9999981660882072,RandomForest
1,29.0,False,False,0.10155978816339302,False,0.0,False,0.02443992772727514,RandomForest
2,21.4,False,False,0.10613590168107273,False,0.0,False,0.028870872311402705,RandomForest
4,25.0,True,False,0.2327267421888331,False,0.16666666666666666,False,0.4346745595748555,RandomForest
1,10.5,False,False,0.05572505073443392,False,0.0,False,0.033139422409067816,RandomForest
3,55.28571429,False,True,0.5318037186838922,True,0.7,False,0.43650413264585786,AdaBoost
