cbo,rfc,lcom,npm,lcom3,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
6,50,33,9,0.916666667,True,True,0.9883804972214096,True,1.0,True,0.9999999999999998,AdaBoost
12,77,68,13,0.834090909,True,True,0.9999986509734876,True,1.0,True,0.9999999999999998,AdaBoost
3,3,1,1,2.0,False,False,0.0749010776937519,False,0.0,False,2.2204460492503185e-16,AdaBoost
2,5,6,4,2.0,False,False,0.039804424083439684,False,0.3,False,0.4000000000000001,AdaBoost
8,13,64,11,0.9090909090000001,True,True,0.9999990657929086,True,1.0,True,0.9999999999999998,AdaBoost
5,37,28,8,0.975,True,True,0.956470007245964,True,1.0,True,0.8999999999999999,AdaBoost
4,3,3,3,2.0,False,False,0.38554179058628657,False,0.3,False,0.2,AdaBoost
6,15,10,4,2.0,True,True,0.5043589026110777,True,0.6,True,0.7067571017641436,AdaBoost
2,7,0,3,0.0,False,False,0.02804673636946418,False,0.0,False,2.2204460492503185e-16,AdaBoost
5,15,1,1,2.0,False,False,0.15174716494144164,False,0.2,False,0.2,AdaBoost
6,25,3,1,2.0,True,False,0.4743480868183602,True,0.6,False,0.44948974278317816,RandomForest
2,11,28,8,2.0,True,False,0.29650325772819697,False,0.3,False,0.10000000000000002,AdaBoost
0,2,0,1,2.0,False,False,0.021027849249756272,False,0.0,False,2.2204460492503185e-16,AdaBoost
5,43,33,9,0.8888888890000001,True,True,0.9818661234200364,True,0.9,True,0.8999999999999999,AdaBoost
4,7,1,1,2.0,False,False,0.09876578618943628,False,0.0,False,2.2204460492503185e-16,AdaBoost
8,6,0,5,0.25,False,False,0.09419659304607436,False,0.3,False,2.2204460492503185e-16,AdaBoost
22,57,242,25,0.93452381,True,True,1.0,True,1.0,True,0.9999999999999998,AdaBoost
6,9,0,1,0.875,False,False,0.1920427104507266,False,0.0,False,2.2204460492503185e-16,AdaBoost
1,34,23,7,0.38888888899999996,False,True,0.5745246874132403,True,0.7,False,0.29999999999999993,AdaBoost
10,57,146,17,0.907894737,True,True,0.9999999999999934,True,1.0,True,0.9999999999999998,AdaBoost
1,34,1,5,0.333333333,False,False,0.021074760992833244,False,0.1,False,2.2204460492503185e-16,AdaBoost
4,26,0,4,0.666666667,False,False,0.03160847468596216,True,0.8,False,0.4000000000000001,AdaBoost
1,7,15,5,2.0,False,False,0.10953965308384556,False,0.0,False,0.2,AdaBoost
27,150,685,26,0.8979591840000001,True,True,1.0,True,1.0,True,0.9999999999999998,AdaBoost
0,33,22,6,0.375,False,True,0.5199333430753821,False,0.5,False,0.2,AdaBoost
3,8,1,1,2.0,False,False,0.08292753911433226,False,0.0,False,2.2204460492503185e-16,AdaBoost
4,23,6,4,1.333333333,True,False,0.03164043874242515,False,0.2,False,0.29999999999999993,AdaBoost
8,19,3,3,2.0,True,False,0.4444889544935345,True,0.6,True,0.60435607626104,AdaBoost
3,1,0,1,2.0,False,False,0.06733361966185608,False,0.0,False,2.2204460492503185e-16,AdaBoost
17,73,15,6,2.0,True,True,0.996700178096152,True,1.0,True,0.8,AdaBoost
2,10,0,2,0.0,False,False,0.05991824277348424,False,0.0,False,0.10000000000000002,AdaBoost
11,24,15,6,0.791666667,True,True,0.8345862534000196,False,0.4,True,0.8,AdaBoost
10,15,1,2,2.0,False,False,0.3308243843104736,False,0.5,False,0.29999999999999993,AdaBoost
