dit,rfc,lcom,ca,npm,lcom3,loc,dam,cbm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,60,90,1,38,0.838141026,786,0.9375,6,True,True,0.9612504263157836,True,1.0,True,0.7841511268133944,AdaBoost
1,36,164,31,18,0.842105263,141,1.0,0,False,False,0.08269443618593081,False,0.4,True,0.5811109685933648,AdaBoost
1,52,86,4,16,0.673913043,451,0.833333333,0,True,True,0.5226051601618447,True,0.7,False,0.4751031553298154,AdaBoost
2,28,72,1,14,0.933333333,254,0.333333333,6,True,True,0.8353817321719704,True,1.0,True,0.7225208620154674,AdaBoost
2,20,4,2,7,0.8,148,0.6,2,True,False,0.23190793538722984,True,0.9,True,0.5948145370487269,AdaBoost
2,21,49,2,9,0.85,106,0.5,6,True,True,0.7842662370142061,True,1.0,True,0.943070911109536,AdaBoost
3,4,1,5,3,2.0,24,0.0,0,False,False,0.1280177456606151,False,0.2,False,0.3017821815972665,AdaBoost
2,59,20,2,4,0.8214285709999999,267,1.0,1,False,False,0.2810980687129179,False,0.3,False,0.455777112020488,AdaBoost
1,24,6,2,11,0.787878788,156,0.0,0,True,False,0.4900879927497148,False,0.3,True,0.6377688171799829,AdaBoost
2,37,0,7,6,0.35714285700000004,278,1.0,1,True,False,0.19697083245900654,False,0.1,False,0.24936486921689585,AdaBoost
1,30,88,1,14,0.683333333,250,0.0,0,True,False,0.1773550247666789,False,0.4,False,0.14265173185189664,AdaBoost
2,51,89,3,22,0.721088435,417,0.857142857,2,True,True,0.7982980856004297,True,0.8,True,0.5701652025349929,AdaBoost
2,40,258,4,23,0.7583333329999999,390,0.8,6,True,True,0.9101669565570928,True,1.0,True,0.9393387080128974,AdaBoost
2,85,611,1,60,0.953972257,1390,0.5,6,True,True,0.9828675929961884,True,0.8,True,0.5495033784325379,AdaBoost
2,32,79,4,13,0.7857142859999999,251,0.666666667,6,True,True,0.830719522305595,True,1.0,True,0.9047507590996924,AdaBoost
2,37,0,1,18,0.684210526,321,0.833333333,6,True,True,0.8771124776886184,True,0.9,True,0.8290400844241533,AdaBoost
1,0,0,0,0,2.0,4,0.0,0,False,False,0.039654441898507364,False,0.0,False,0.07916033415527735,AdaBoost
2,20,0,2,10,0.0,53,1.0,2,True,False,0.20584156547733776,False,0.3,False,0.21631136525820904,AdaBoost
2,22,54,2,10,0.818181818,117,0.5,6,True,True,0.7936850167738486,True,1.0,True,0.9452822981563508,AdaBoost
1,244,0,6,79,0.9259510870000001,1441,0.4375,0,True,True,0.9965685693607576,True,0.8,True,0.8062771858044585,AdaBoost
1,1,0,6,1,2.0,1,0.0,0,False,False,0.03968165275393767,False,0.0,False,0.0903600228808549,AdaBoost
3,126,130,3,10,1.047117794,1170,0.019047619,7,True,True,0.9963078460121704,True,1.0,True,0.7884035753887991,AdaBoost
1,183,89,4,45,0.878216123,1831,0.727272727,0,True,True,0.97741051560519,True,0.9,True,0.9543971794850852,AdaBoost
2,52,479,2,35,0.8986486490000001,536,0.9375,6,True,True,0.9267516102590904,True,1.0,True,0.8739500092316637,AdaBoost
2,42,209,3,24,0.846153846,372,0.9,6,True,True,0.9052871225254951,True,1.0,True,0.9835309616087832,AdaBoost
2,19,0,2,6,0.8214285709999999,324,1.0,2,False,True,0.5165028847462031,False,0.3,True,0.5108369877207483,RandomForest
1,4,6,4,4,2.0,4,0.0,0,False,False,0.0438797670841341,False,0.0,False,0.12866616193658592,AdaBoost
2,22,46,4,10,0.818181818,127,0.5,6,True,True,0.7919510215962116,True,1.0,True,0.8467742801733548,AdaBoost
2,11,6,4,4,2.0,61,0.0,0,True,False,0.0871576999042233,False,0.3,False,0.3363836699274986,AdaBoost
2,61,312,1,42,0.860465116,933,0.944444444,6,True,True,0.9567713864059441,True,1.0,True,0.6770461543821626,AdaBoost
1,13,0,2,4,0.5,107,1.0,0,False,False,0.06836473683619539,False,0.2,False,0.3475045529834369,AdaBoost
2,22,54,2,10,0.818181818,117,0.5,6,True,True,0.7936850167738486,True,1.0,True,0.9452822981563508,AdaBoost
2,38,21,2,18,0.685185185,284,0.833333333,2,True,False,0.33977381513259003,True,0.8,True,0.5060494608943811,AdaBoost
2,25,43,2,9,0.8,182,0.0,6,True,True,0.7801020578830928,True,0.9,True,0.8572751652741126,AdaBoost
1,23,105,155,12,2.0,84,0.0,0,True,False,0.3620432615309563,False,0.1,False,0.480397669451666,AdaBoost
2,27,46,1,11,0.7777777779999999,201,0.333333333,6,True,True,0.8196540473436721,True,0.8,True,0.8871661264376485,AdaBoost
1,24,53,1,6,1.033333333,241,1.0,0,False,False,0.05769208751904409,True,0.7,True,0.5387617024065432,Voting
2,22,46,2,10,0.818181818,128,0.5,6,True,True,0.7941719826581379,True,1.0,True,0.9454040138504912,AdaBoost
1,13,42,15,12,0.818181818,62,0.0,0,False,False,0.12843065434302994,False,0.0,False,0.3926218420038273,AdaBoost
1,44,0,5,20,0.976666667,153,0.133333333,0,True,False,0.2456511315033979,False,0.3,True,0.5124960108361473,AdaBoost
1,4,6,6,4,2.0,4,0.0,0,False,False,0.041770568922873584,False,0.0,False,0.09888568827557316,AdaBoost
1,25,7,2,4,0.75,230,1.0,0,True,False,0.3918954630231484,False,0.3,False,0.4818305335054261,AdaBoost
3,2,0,3,1,2.0,13,0.0,0,False,False,0.12978179820893654,False,0.1,False,0.14669358679575967,AdaBoost
1,18,0,1,4,0.222222222,129,1.0,1,False,False,0.084388686358892,False,0.4,False,0.3354657625387683,AdaBoost
2,24,46,1,10,0.818181818,141,0.5,6,True,True,0.7778766966942068,True,1.0,True,0.94274606320779,AdaBoost
2,13,36,2,9,1.125,62,0.0,0,True,True,0.5310843156913128,True,1.0,True,0.9096774131372359,AdaBoost
2,23,6,3,12,0.672727273,154,0.0,1,True,False,0.2962248972774251,False,0.5,True,0.5558487786388084,AdaBoost
2,20,0,0,4,0.5,138,1.0,1,False,False,0.14867858196318756,False,0.2,False,0.28345379918582403,AdaBoost
2,33,43,1,15,0.833333333,258,0.666666667,5,False,False,0.4637279122169866,False,0.2,False,0.2545447694707658,AdaBoost
1,27,15,1,5,2.0,264,0.0,0,False,False,0.06451745459683607,True,0.6,False,0.4902270967199551,AdaBoost
1,30,0,4,4,0.333333333,212,0.0,0,False,False,0.19389221965990552,False,0.5,True,0.5521725298796226,AdaBoost
3,8,10,1,4,1.25,26,0.0,2,True,True,0.6630064506496494,True,1.0,True,0.927180420634668,AdaBoost
1,30,88,1,14,0.683333333,250,0.0,0,False,True,0.5368772851574004,True,0.8,True,0.9021726871129974,AdaBoost
3,181,0,0,85,0.5,2890,0.5,20,True,True,0.9999985800907653,True,0.6,True,0.6291543339676079,AdaBoost
1,12,3,11,10,0.333333333,69,1.0,0,False,False,0.07917674787814992,False,0.0,False,0.2480872293104501,AdaBoost
2,28,111,2,16,0.776470588,231,0.8,6,True,True,0.8070179033295091,True,0.9,True,0.8473703339224649,AdaBoost
1,17,78,2,16,0.533333333,172,1.0,0,False,False,0.4243838551932213,False,0.3,False,0.3703586619839773,AdaBoost
2,26,57,3,12,0.7692307690000001,195,0.666666667,6,True,True,0.783620981771081,True,1.0,True,0.9024407465925852,AdaBoost
2,41,258,7,23,0.7583333329999999,389,0.8,6,True,True,0.9034756865224756,True,0.8,True,0.8201448338823089,AdaBoost
1,26,4,3,2,0.833333333,193,1.0,0,True,False,0.05125560962588046,False,0.1,False,0.18662445463529398,AdaBoost
2,41,4,1,8,0.875,302,0.5,5,True,True,0.7859669068044427,True,0.7,True,0.5320390065362737,AdaBoost
1,4,0,1,2,0.0,14,0.0,0,False,False,0.16721470931206475,False,0.4,False,0.3752215839361697,AdaBoost
2,16,55,2,11,1.1,96,0.333333333,0,True,True,0.5186917356443472,True,1.0,True,0.799856634558839,AdaBoost
1,28,15,5,3,2.0,191,0.0,0,True,False,0.05947440992072805,False,0.4,False,0.4668806572094489,AdaBoost
2,34,87,3,12,0.8714285709999999,230,0.8,5,True,True,0.7358575977442445,True,0.7,True,0.7256259578239407,AdaBoost
2,41,66,4,15,0.85,319,0.4,6,True,True,0.8748086254192718,True,1.0,True,0.8023088035774335,AdaBoost
2,8,21,1,7,1.166666667,32,0.5,2,True,True,0.513757289343674,True,0.9,True,0.7374450656695751,AdaBoost
2,44,106,4,15,0.760416667,483,0.5,6,True,True,0.894043172134977,True,0.9,True,0.7970714663011327,AdaBoost
2,19,5,2,8,0.740740741,223,1.0,2,False,False,0.1856349527757632,False,0.3,True,0.5178483158213815,AdaBoost
1,20,1,1,2,2.0,175,0.0,0,False,False,0.051098453092911986,False,0.1,False,0.2835444947080926,AdaBoost
2,22,46,2,10,0.818181818,128,0.0,6,True,True,0.7613390567588899,True,1.0,True,0.95809000851409,AdaBoost
1,0,0,2,0,2.0,10,0.0,0,False,False,0.03273560468327471,False,0.0,False,0.05213612434362419,AdaBoost
3,17,0,2,6,0.8888888890000001,120,0.333333333,5,True,True,0.873368938843278,True,0.7,True,0.6151958311141994,AdaBoost
1,43,28,0,6,0.6875,416,1.0,0,True,False,0.4258043995828145,True,0.6,True,0.5806620141174273,AdaBoost
1,22,0,1,5,0.166666667,88,1.0,0,True,False,0.08255592892080219,False,0.1,False,0.2963683762247022,AdaBoost
2,14,9,5,5,0.5,48,1.0,0,False,False,0.11982542321785475,False,0.3,False,0.3996672227381195,AdaBoost
1,78,0,2,38,0.923684211,234,0.0,0,False,True,0.9604443396484412,True,0.8,True,0.6096527681147618,AdaBoost
1,36,1,2,2,2.0,137,0.0,0,False,False,0.06469308010206583,False,0.0,False,0.4140530379134011,AdaBoost
2,18,54,4,8,0.924242424,222,1.0,2,False,False,0.14216045302418034,True,0.7,False,0.4980453897819965,AdaBoost
2,55,281,0,31,0.940909091,567,0.545454545,5,False,True,0.6356668733916392,True,0.7,False,0.4829335497040559,AdaBoost
1,0,0,1,0,2.0,5,0.0,0,False,False,0.03593419109281331,False,0.0,False,0.08306160712324609,AdaBoost
2,22,66,2,11,0.805555556,140,0.666666667,6,True,True,0.7696878686895222,True,1.0,True,0.9514192208909912,AdaBoost
2,26,69,4,12,0.7435897440000001,188,0.666666667,6,True,True,0.7907853657633611,True,1.0,True,0.9531809502854538,AdaBoost
2,32,74,5,13,0.75,224,0.75,6,True,True,0.8095907464954267,True,1.0,True,0.7658436904638081,AdaBoost
