lcom,ce,loc,moa,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
1,4,49,0,1,True,False,0.483674677957907,True,1.0,True,0.9125180696345676,Voting
3,0,3,0,1,False,False,0.1251886293235618,False,0.0,False,0.07535333475315026,Voting
78,8,49,0,1,False,False,0.2874217083789102,False,0.2882936507936508,False,0.4899345353331736,Voting
1,4,17,0,1,False,False,0.1439994723603786,False,0.0,False,0.050616964343478635,Voting
253,8,23,0,1,False,True,0.5053570997186663,False,0.0,False,0.014266919254315731,Voting
26,0,134,0,1,False,False,0.16353233736684233,False,0.0,False,0.1066865389121802,Voting
0,5,234,1,3,True,False,0.23148291710657815,False,0.1,False,0.15745915079411515,Voting
274,1,459,0,3,False,True,0.6090739357086985,False,0.16666666666666666,False,0.28162406311122284,Voting
3,7,55,0,2,False,False,0.18219772169192494,False,0.1,False,0.0682202448829307,Voting
78,8,49,0,1,False,False,0.2874217083789102,False,0.2882936507936508,False,0.4899345353331736,Voting
1,1,16,0,1,False,False,0.13043572769783593,False,0.0,False,0.036210959805009185,Voting
8,15,364,0,8,False,True,0.7886407430441751,True,1.0,True,0.8695789257108884,Voting
221,5,333,3,7,False,True,0.8669511303449458,True,0.7,True,0.5436689816553256,Voting
1,2,17,0,1,False,False,0.1347359101468131,False,0.0,False,0.021606199515186605,Voting
126,23,771,5,9,True,True,0.6109128278748938,True,0.8,True,0.5638429009343441,Voting
3,9,261,1,4,False,True,0.631328880262001,True,0.7,False,0.454232917565525,AdaBoost
1,4,69,0,7,False,False,0.190158538812414,False,0.1,False,0.30564851303234075,Voting
6,22,413,1,6,True,True,0.5567315153900447,False,0.1,False,0.14748238432128832,Voting
0,2,1,0,1,False,False,0.13155904152610373,False,0.0,False,0.05281629611278918,Voting
1,1,32,0,2,False,False,0.14369252651591646,False,0.0,False,0.04737096793695735,Voting
3,7,55,0,2,False,False,0.18219772169192494,False,0.1,False,0.0682202448829307,Voting
21,3,174,0,19,False,False,0.17700256266242426,False,0.05,False,0.15702406078018527,Voting
10,5,5,0,1,False,False,0.15071233511506255,False,0.0,False,0.150478662319343,Voting
0,3,78,0,3,False,False,0.1729332669599487,False,0.0,False,0.0275774542340186,Voting
16,2,112,1,2,False,False,0.16081812533429046,False,0.0,False,0.09407258554911832,Voting
9,0,91,5,1,False,False,0.11816937834508735,False,0.0,False,0.07735492307790551,Voting
68,15,365,7,4,False,False,0.4291002258490681,False,0.3,False,0.1393888981017983,Voting
1,11,243,1,4,False,False,0.3101068776016622,False,0.4,False,0.38933058447479824,Voting
6,1,79,5,1,False,False,0.11734307161019375,False,0.0,False,0.08305079456842028,Voting
21,1,109,1,7,False,False,0.3500215200072609,False,0.31666666666666665,False,0.4968422281999938,Voting
0,0,7,0,0,False,False,0.4483786277713282,True,1.0,True,0.8121893644970007,Voting
1,0,2,0,1,False,False,0.12428720462111582,False,0.0,False,0.05443535882112769,Voting
91,7,54,0,1,False,False,0.2255553630274505,False,0.0,False,0.08528513600837699,Voting
0,4,254,1,3,True,False,0.23490745357211185,False,0.1,False,0.11265768040621382,Voting
55,5,11,0,1,False,True,0.5090045177345327,True,0.9,True,0.803469753239771,Voting
11,5,39,2,1,False,False,0.13357684810806286,False,0.28,False,0.22361513272742525,Voting
78,8,49,0,1,False,False,0.2874217083789102,False,0.2882936507936508,False,0.4899345353331736,Voting
1,4,17,0,1,False,False,0.1439994723603786,False,0.0,False,0.050616964343478635,Voting
16,15,354,5,4,False,False,0.41569826400799936,False,0.1,False,0.14703987390205311,Voting
1,4,17,0,1,False,False,0.1439994723603786,False,0.0,False,0.050616964343478635,Voting
10,16,495,3,3,False,True,0.8379995030307159,True,0.8,True,0.771009824955941,Voting
1,0,45,0,4,False,False,0.1596522250491554,False,0.0,False,0.07043783748301903,Voting
182,31,495,4,2,False,True,0.619270207751305,False,0.1,False,0.12156257524415792,Voting
8,0,26,0,1,False,False,0.13110456074940666,False,0.0,False,0.041583121500559705,Voting
0,14,402,0,17,False,False,0.2541105097434677,False,0.0,False,0.1278344293101937,Voting
1,4,29,0,1,False,False,0.4796274803213221,False,0.4,False,0.14072576084292746,Voting
1,3,26,1,0,False,False,0.11679980601731975,False,0.0,False,0.08232926740851061,Voting
78,8,49,0,1,False,False,0.2874217083789102,False,0.2882936507936508,False,0.4899345353331736,Voting
0,0,23,0,1,False,False,0.12749849581658187,False,0.0,False,0.0458034761444988,Voting
3,7,54,0,2,False,False,0.18195794000762647,False,0.1,False,0.07784152416276598,Voting
78,9,57,0,1,False,False,0.23082144216585865,False,0.2,False,0.18878514188439766,Voting
88,20,367,6,5,False,True,0.8253553142000517,False,0.3583333333333333,True,0.5163125661180185,RandomForest
10,0,75,0,2,True,False,0.15253830329236004,False,0.0,False,0.08936158999621698,Voting
78,8,49,0,1,False,False,0.2874217083789102,False,0.2882936507936508,False,0.4899345353331736,Voting
0,0,77,0,0,False,False,0.1276259062645423,False,0.0,False,0.2257868727686417,Voting
3,1,16,0,0,False,False,0.12134424459911447,False,0.0,False,0.0977339462544076,Voting
21,7,73,0,2,False,False,0.19543162524724192,False,0.1,False,0.1455239842868828,Voting
260,4,443,3,8,False,True,0.9118179647961584,True,0.7,True,0.8071117814233759,Voting
3,7,67,0,3,False,False,0.19672978322576432,False,0.1,False,0.221973961215634,Voting
4,9,223,0,5,False,False,0.29283328586975377,False,0.1,False,0.3836468730817347,Voting
3,7,63,0,2,False,False,0.18415025635153276,False,0.2,False,0.17717974143285845,Voting
55,5,11,0,1,False,True,0.5090045177345327,True,0.9,True,0.803469753239771,Voting
0,0,38,0,0,True,False,0.12028347927225976,False,0.0,False,0.2762412544374418,Voting
31,0,64,0,1,False,False,0.14899585790841646,False,0.0,False,0.11569974879489227,Voting
