dit,rfc,lcom3,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
1,10,2.0,False,False,0.02537769426994291,False,0.0,False,2.2204460492503185e-16,Voting
1,1,2.0,False,False,0.01988431234459536,False,0.0,False,2.2204460492503185e-16,Voting
5,67,0.7613636359999999,False,True,0.5971101757331129,False,0.3,False,0.2,Voting
1,2,2.0,False,False,0.021550674867685585,False,0.0,False,2.2204460492503185e-16,Voting
1,22,0.833333333,False,False,0.3488015796166311,False,0.3,False,0.2,Voting
1,2,2.0,False,False,0.02286974839975521,False,0.0,False,2.2204460492503185e-16,Voting
5,60,0.841666667,False,True,0.902700717392942,False,0.5,True,0.9999999902449004,RandomForest
1,50,1.05,True,True,0.68310282183347,True,0.8,False,0.29999999999999993,Voting
6,25,0.0,True,False,0.22305883945520372,False,0.2,False,0.5,Voting
6,48,0.7857142859999999,True,True,0.5470744767450774,False,0.3,True,0.8,Voting
1,16,2.0,False,False,0.02709436806133736,False,0.0,False,2.2204460492503185e-16,Voting
1,2,2.0,False,False,0.02163815487533037,False,0.0,False,2.2204460492503185e-16,Voting
3,2,2.0,False,False,0.0193971386781218,False,0.0,False,3.010487382157139e-06,Voting
5,60,0.571428571,False,True,0.9350663447384708,True,0.8,False,0.5,AdaBoost
2,7,0.916666667,False,False,0.13429358487609336,False,0.1,False,0.14285714285714285,Voting
1,3,2.0,False,False,0.0272374573489506,False,0.0,False,2.2204460492503185e-16,Voting
1,53,0.844827586,True,True,0.7987909620311789,True,0.8,True,0.7,Voting
1,30,0.0,False,False,0.2958013813674294,True,0.7,False,0.4000000000000001,Voting
3,2,2.0,False,False,0.026672397834256387,False,0.1,False,2.2204460492503185e-16,Voting
1,5,2.0,False,False,0.02373763560782902,False,0.0,False,2.2204460492503185e-16,Voting
1,46,0.5,False,True,0.8663944339861128,True,0.8,True,0.8999999999999999,Voting
3,2,2.0,False,False,0.02355378392257125,False,0.0,False,2.2204460492503185e-16,Voting
1,57,0.8222222220000001,False,True,0.8811151149011299,True,0.7,True,0.7860612308660185,Voting
1,23,1.333333333,False,False,0.10360922909171147,False,0.3,False,2.2204460492503185e-16,Voting
5,109,0.763736264,False,True,0.6072014888662777,False,0.4,True,0.5505102572168219,RandomForest
1,32,2.0,False,False,0.3795387907568471,False,0.1,False,0.3797958971132713,Voting
1,25,0.675,False,True,0.7261404276514903,True,0.8,True,0.9999999902449004,Voting
3,2,2.0,False,False,0.032112657780809385,False,0.0,False,2.2204460492503185e-16,Voting
1,10,0.666666667,False,False,0.2332491754069229,False,0.2,False,7.450580541412699e-09,Voting
5,67,0.775119617,False,True,0.585705763299779,False,0.2,False,0.2466060555964672,Voting
1,2,2.0,False,False,0.02435492513394961,False,0.0,False,2.2204460492503185e-16,Voting
1,27,0.75,True,False,0.3141145577872613,True,0.6,False,0.29999999999999993,RandomForest
2,8,0.931818182,False,False,0.17063646055630702,False,0.1,False,0.2,Voting
1,22,2.0,False,False,0.0419170326552443,False,0.0,False,7.450580485602707e-09,Voting
1,9,2.0,False,False,0.02866242462162164,False,0.0,False,2.2204460492503185e-16,Voting
1,12,0.8,False,False,0.188713185875262,False,0.0,False,0.2,Voting
1,53,0.64,True,True,0.8730586517567817,True,0.6,True,0.6000000000000001,Voting
5,80,0.847619048,True,False,0.4670974269875934,False,0.2,False,2.2204460492503185e-16,Voting
5,61,0.675,True,True,0.5596702425904879,False,0.0,False,2.2204460492503185e-16,Voting
2,26,0.7,True,False,0.3657775404891159,True,0.8,True,0.9986819929902212,Voting
1,3,2.0,False,False,0.0225682914195881,False,0.0,False,2.339595645269369e-12,Voting
2,30,0.7333333329999999,False,True,0.7846315836994217,True,1.0,True,0.7860612308660185,Voting
1,7,2.0,False,False,0.03035685248700184,False,0.0,False,3.914103716735193e-06,Voting
1,74,0.816666667,False,True,0.9137768127841274,False,0.5,False,0.5,Voting
1,40,0.962566845,False,False,0.4288594607372401,False,0.5,True,0.6753335104351639,Voting
