wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
15,18,52,3,15,271,4,0,16.53333333,13,True,True,0.6380513840888308,False,0.4,False,0.26025131070984275,Voting
3,2,8,1,1,60,0,0,15.0,0,False,False,0.0792400529439579,False,0.1,False,0.3391298362502461,Voting
15,23,33,18,5,229,0,0,14.06666667,4,True,False,0.1621905132296059,False,0.4,False,0.12317225835979538,Voting
2,6,5,2,4,14,0,0,6.0,1,False,False,0.06249539184616339,False,0.1,False,0.08001384267345754,Voting
2,11,2,8,3,2,0,0,0.0,1,True,False,0.06774720806741974,False,0.1,False,0.06298282641509532,Voting
4,8,29,0,8,141,0,0,34.0,6,False,False,0.14798777930865425,False,0.1,False,0.3800647855537358,Voting
4,7,19,1,7,78,1,1,18.25,5,True,False,0.4974966028250669,True,0.8,True,0.6752678911759905,Voting
51,4,71,1,3,481,0,0,8.274509804,3,False,True,0.6793635023804737,True,0.7,True,0.5617882557127364,Voting
14,14,46,5,9,544,0,0,37.28571429,8,False,True,0.8746249044791844,True,1.0,True,0.8925626256237303,Voting
4,4,31,4,0,179,0,0,42.75,4,False,True,0.5556576339783659,False,0.2,False,0.4515051740598175,Voting
2,16,30,2,14,373,0,0,185.5,25,False,False,0.40799950417812375,True,0.6,True,0.5416353845879178,Voting
17,23,77,4,19,673,6,0,37.76470588,30,False,True,0.9991884238389599,True,0.9,True,0.8050943042149159,Voting
3,10,25,0,10,139,0,0,45.33333333,10,False,False,0.10404804463946984,False,0.1,False,0.13260770036735514,Voting
10,33,10,30,5,10,0,0,0.0,1,False,False,0.3968104203051468,False,0.1,False,0.4827762609174674,Voting
20,31,107,3,29,844,1,0,40.6,39,True,True,0.9960889283495052,False,0.4,True,0.9365023828767046,Voting
15,12,73,0,12,609,0,3,39.4,9,False,True,0.9962970627524992,True,1.0,True,0.6093980081516838,Voting
3,8,24,0,8,114,0,0,37.0,7,False,False,0.1138847799991654,False,0.1,False,0.3192762006352527,Voting
17,14,58,2,12,444,2,0,24.64705882,12,True,True,0.9636212545748452,True,0.8,True,0.6516578050571454,Voting
3,11,25,0,11,156,0,0,51.0,12,False,False,0.09659431732401197,False,0.3,False,0.15042678347004645,Voting
3,7,15,0,7,46,0,0,14.33333333,3,False,False,0.07991644596143548,False,0.0,False,0.051037939128884435,Voting
2,5,30,3,3,183,0,5,90.5,9,True,True,0.9606480632032908,True,0.7,True,0.6293689268425092,Voting
5,20,51,4,16,319,1,3,62.6,23,True,True,0.6487728004849598,False,0.5,True,0.7215617211902465,Voting
12,10,12,7,3,12,0,0,0.0,1,False,False,0.027211749271435087,False,0.0,False,0.1473846104939266,Voting
10,14,35,7,7,176,0,0,16.5,3,True,True,0.5034119332538457,False,0.4,False,0.40882742831325,Voting
8,21,64,1,21,570,1,2,69.75,4,False,True,0.9941557575383109,True,0.8,True,0.8393914061004225,Voting
3,4,3,2,2,3,0,0,0.0,1,False,False,0.05351250309448924,False,0.0,False,0.024028487755839226,Voting
9,38,102,1,37,620,0,0,67.77777778,6,True,True,0.9934557553982288,True,0.8,True,0.7801485006266793,Voting
11,18,71,3,16,542,1,3,47.63636364,16,True,True,0.660517332693617,True,0.8,True,0.5203075684356202,Voting
3,5,8,0,5,21,0,0,5.666666667,1,False,False,0.06688967200818254,False,0.0,False,0.034246605114441706,Voting
