wmc,dit,lcom,ca,ce,npm,mfa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
6,1,15,2,2,6,0.0,False,False,0.3708564872928492,True,0.8,True,0.6176428180077661,Voting
9,1,28,5,0,9,0.0,False,False,0.004978737258760703,False,0.2,False,0.21945887495984706,Voting
9,1,28,7,0,9,0.0,False,False,0.006149953526142653,False,0.0,False,0.1162744761012846,Voting
3,1,1,0,7,3,0.0,True,False,0.18874473754310905,False,0.2,False,0.2986966009911166,Voting
6,8,3,0,11,5,0.955357143,True,True,0.9997705258213858,True,1.0,True,0.9746655369341348,Voting
9,1,0,0,5,9,0.0,False,True,0.5670399522264259,True,0.7,True,0.6590333356075057,Voting
6,8,3,0,8,6,0.955357143,True,True,0.9997154300895432,True,0.75,True,0.9776042188665426,Voting
5,8,4,0,10,4,0.9639639640000001,True,True,0.9996594454827696,True,1.0,True,0.9472952994985988,Voting
7,1,21,7,3,7,0.0,False,False,0.20070036818280645,False,0.2,False,0.3334791329664509,Voting
24,1,258,8,3,24,0.0,False,False,2.969015802321823e-17,False,0.2,False,0.03629356567542935,Voting
7,4,19,0,12,7,0.7142857140000001,True,False,0.3592859040624963,True,0.8,True,0.5668584036502621,Voting
17,1,120,7,0,17,0.0,False,False,3.5710835028461655e-08,False,0.0,False,0.0976775381698748,Voting
3,1,3,0,3,3,0.0,False,False,0.4912708143983032,True,1.0,True,0.8999999999999999,Voting
5,1,6,5,0,5,0.0,True,False,0.4570433959128367,False,0.3,False,0.3959065141080651,Voting
7,8,9,0,11,7,0.946902655,True,True,0.9985008449014464,True,0.9,True,0.9260872445354609,Voting
13,1,66,6,0,13,0.0,False,False,1.5704746924420613e-05,False,0.0,False,0.123509124347954,Voting
4,1,0,0,7,4,0.0,False,True,0.6599539324665127,True,0.8099999999999999,True,0.8577157938786529,Voting
2,1,1,0,4,2,0.0,False,True,0.5872206507914907,True,0.65,True,0.5857062610768596,Voting
4,8,0,0,13,4,0.972727273,True,True,0.99992046792782,True,1.0,True,0.9144594191917682,Voting
4,4,6,0,11,4,0.833333333,True,True,0.987167428230267,True,0.8,True,0.7254216323851397,Voting
3,1,3,2,3,3,0.0,True,False,0.3701213376364991,False,0.35,False,0.4994315436638278,Voting
4,8,0,0,7,4,0.972727273,True,True,0.9998234018679386,True,0.8,True,0.5163401216090583,Voting
6,1,0,0,5,6,0.0,True,False,0.07882043361471824,False,0.0,False,0.1462242253955657,Voting
3,1,3,5,3,3,0.0,True,True,0.6120547024371464,True,0.86,True,0.8479159956417487,Voting
3,1,3,0,3,3,0.0,True,False,0.14527077429538335,False,0.5,False,0.2605412463698835,Voting
