wmc,lcom,ce,mfa,cam,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
14,43,11,0.5,0.276923077,True,True,0.8403314268804455,False,0.4,True,0.7157703261346589,AdaBoost
3,3,4,0.9722222220000001,0.533333333,False,False,0.08302286929412812,False,0.0,False,0.09357174179599256,AdaBoost
25,194,5,0.0,0.261904762,False,True,0.8762333036920511,True,0.6,False,0.3994347953631082,AdaBoost
18,149,10,0.6,0.33823529399999996,False,True,0.5605820396897745,False,0.1,False,0.2817092340062481,AdaBoost
16,106,2,0.605263158,0.5,False,False,0.2024270658463413,False,0.2,False,0.1790266598074962,AdaBoost
11,7,6,0.72972973,0.333333333,True,True,0.5428845952554314,False,0.3,False,0.3497961809968981,Voting
8,8,12,0.833333333,0.265625,False,False,0.41929621402989375,True,0.7,False,0.4007885313745331,AdaBoost
3,3,3,0.967741935,0.533333333,False,False,0.0703203235953384,False,0.0,False,0.04534583602832733,AdaBoost
4,0,3,0.0,0.583333333,False,False,0.4739706238491775,True,0.7,False,0.4343592674527964,AdaBoost
3,3,2,0.7142857140000001,0.666666667,False,False,0.05855382597895273,False,0.0,False,0.03089792553076373,AdaBoost
8,0,15,0.833333333,0.28125,True,True,0.5830768625702484,True,0.7,True,0.5299992752977946,AdaBoost
12,66,15,0.0,0.295454545,False,True,0.9692507310460298,False,0.5,True,0.5552321737063767,RandomForest
13,58,4,0.6333333329999999,0.46153846200000004,False,False,0.4856072891693339,False,0.3,False,0.4159871513223545,AdaBoost
6,15,0,0.8125,0.5,False,False,0.05451321697431901,False,0.3,False,0.032297696885535604,AdaBoost
4,0,3,0.571428571,0.45,True,False,0.4496067486567812,False,0.5,True,0.7816885250583667,AdaBoost
37,0,13,0.0,0.177777778,False,True,0.9892637931821158,True,1.0,True,0.9389214762513444,AdaBoost
9,0,11,0.0,0.37777777799999995,True,True,0.754066784533581,True,0.8,True,0.7539730748248827,AdaBoost
1,0,0,0.0,1.0,False,False,0.04401354711904378,False,0.0,False,0.09037307755522256,AdaBoost
5,10,9,0.9090909090000001,0.4,True,True,0.5552939254710249,True,1.0,True,0.9018159085376064,AdaBoost
6,15,9,0.882352941,0.333333333,False,False,0.244418674261172,False,0.2,False,0.10873437950108253,AdaBoost
153,8092,61,0.0,0.145559211,True,True,0.6666952306810007,True,1.0,True,0.9437568959399928,AdaBoost
12,42,2,0.0,0.36111111100000004,True,True,0.5292765991156866,True,0.6,True,0.5321841531495348,AdaBoost
9,8,4,0.75,0.333333333,False,False,0.4838698565763505,False,0.3,False,0.4044226823771181,AdaBoost
5,10,9,0.692307692,0.44,True,True,0.524687531041104,True,1.0,True,0.7664905811652285,AdaBoost
4,0,1,0.9285714290000001,0.666666667,False,False,0.03803517645262062,False,0.0,False,0.031763533397127584,AdaBoost
4,6,5,0.9375,0.39285714299999996,True,False,0.1051546816541834,False,0.4,True,0.5458502705277469,AdaBoost
89,492,4,0.0,0.33901515200000004,True,False,0.4180955534963058,True,0.6,False,0.3547180917510538,RandomForest
5,0,4,0.0,0.433333333,True,False,0.18975354775206565,True,0.6,True,0.5961029445828944,AdaBoost
3,3,6,0.9722222220000001,0.533333333,False,False,0.09767196047737664,False,0.0,False,0.06633197547639462,AdaBoost
7,0,18,0.857142857,0.387755102,True,True,0.8854441975433996,True,0.8,True,0.5193533216659844,AdaBoost
7,0,7,0.571428571,0.47619047600000003,True,False,0.16331306540182886,True,0.6,False,0.4126349755427631,RandomForest
19,61,0,0.46428571399999996,0.305555556,False,False,0.14694573232917918,False,0.2,False,0.217380520845725,AdaBoost
2,1,5,0.0,0.5,True,False,0.19817431225117285,False,0.1,False,0.11729257730562337,AdaBoost
3,3,3,0.967741935,0.533333333,False,False,0.06296787266449129,False,0.0,False,0.06835543191940019,AdaBoost
9,2,9,0.6,0.37777777799999995,True,True,0.5465629034737004,False,0.5,False,0.4758785458767097,Voting
5,10,2,0.0,0.5,False,False,0.4784565747020992,True,0.6,True,0.7570776777515521,Voting
43,897,44,0.505882353,0.06760411,True,True,0.999612098531886,True,1.0,True,0.7697622690816696,AdaBoost
1,0,1,0.0,1.0,False,False,0.06912979788341883,False,0.0,False,0.06629562277285103,AdaBoost
4,6,7,0.9375,0.4166666670000001,False,False,0.4651805479747115,False,0.5,False,0.4430278734711508,AdaBoost
5,0,1,0.8666666670000001,0.4,False,False,0.39630644362319617,True,0.6,False,0.4227818641551673,AdaBoost
5,0,1,0.0,0.46666666700000003,False,False,0.13614436033380792,False,0.1,False,0.09260367626439348,AdaBoost
3,0,4,0.666666667,0.611111111,False,False,0.0905287564037628,False,0.2,False,0.3915844279311624,AdaBoost
10,0,8,0.75,0.385714286,True,False,0.1730686495711289,True,0.7,False,0.4830793231135334,RandomForest
20,118,3,0.5476190479999999,0.316666667,False,False,0.25902217568986524,True,0.6,False,0.1820522681792402,AdaBoost
6,15,9,0.882352941,0.333333333,False,False,0.18438318685992228,False,0.2,False,0.11141041680660503,AdaBoost
9,18,2,0.0,0.4,True,False,0.4917462072799518,False,0.5,False,0.4883064925965722,AdaBoost
28,0,9,0.0,0.25,True,True,0.9342885050940174,True,0.9,True,0.522217153277609,AdaBoost
6,3,2,0.0,0.46666666700000003,False,False,0.4678423872240034,False,0.4,True,0.5403383636865633,AdaBoost
3,1,5,0.0,0.46666666700000003,False,True,0.5196884870501903,True,1.0,False,0.4797636522749571,AdaBoost
5,10,8,0.9090909090000001,0.4,False,True,0.5117065825998445,True,0.7,True,0.888992199726653,AdaBoost
5,0,4,0.0,0.48,True,False,0.16696590977600206,True,0.7,False,0.4884690185495044,RandomForest
8,6,3,0.666666667,0.375,False,False,0.449378051558908,True,0.8,False,0.3844315146460312,AdaBoost
1,0,1,0.0,1.0,False,False,0.0517819542830433,False,0.0,False,0.03687616975597347,AdaBoost
25,298,5,0.0,0.213333333,False,True,0.8730016251919781,True,0.6,True,0.7592986042888621,AdaBoost
6,5,4,0.0,0.333333333,True,True,0.525991869476519,False,0.5,False,0.4451578611922419,Voting
4,6,7,0.9375,0.39285714299999996,True,False,0.15848914037633827,True,0.6,True,0.6324151988442592,AdaBoost
24,274,0,0.0,0.16847826100000002,False,False,0.4617240027590509,False,0.2,True,0.6025878517103853,AdaBoost
4,6,8,0.9375,0.39285714299999996,False,False,0.1772956254305387,True,0.7,True,0.6464228004957785,Voting
5,10,8,0.9090909090000001,0.37142857100000004,False,False,0.1835708957956056,True,0.6,True,0.5469741202457105,Voting
5,10,4,0.0,0.3,False,True,0.5306549177971415,True,0.7,True,0.7281086437137994,AdaBoost
3,1,0,0.0,0.5,False,False,0.4305256501432006,True,0.6,True,0.6900178777354303,Voting
15,9,17,0.0,0.333333333,False,True,0.9636339314792494,True,0.8,True,0.5749549087561682,AdaBoost
4,6,5,0.9459459459999999,0.45833333299999995,False,False,0.11221525193329232,False,0.1,False,0.3638482523341519,AdaBoost
9,34,10,0.5625,0.26388888899999996,True,False,0.2734533360759984,True,0.7,False,0.4729263994516048,RandomForest
41,820,41,0.0,0.069767442,True,True,0.999877812827396,True,1.0,True,0.9105656238429756,AdaBoost
7,1,1,0.0,0.46428571399999996,False,False,0.4525741467172941,False,0.3,False,0.2320224657184991,AdaBoost
