rfc,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
49,0,True,True,0.9575990347392548,True,1.0,True,0.9135120415239356,Voting
1,1,True,True,0.6381853962080452,True,1.0,True,0.9987329789404871,Voting
12,7,True,True,0.9999999987075272,True,1.0,True,0.9155332503195229,Voting
16,3,True,True,0.999811750976643,True,1.0,True,0.8864626461510359,Voting
6,3,True,True,0.9994228529383428,True,1.0,True,0.8595609300028402,Voting
46,3,True,True,0.9999934869187456,True,1.0,True,0.9241054672262364,Voting
46,5,True,True,0.9999999863665916,True,1.0,True,0.9241054672262364,Voting
76,31,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
125,10,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
61,26,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
7,3,True,True,0.9994839875641496,True,1.0,True,0.9003502184138671,Voting
5,3,True,True,0.9993544894294392,True,1.0,True,0.8689868065946231,Voting
60,5,True,True,0.9999999971639164,True,1.0,True,0.9241054672262364,Voting
26,14,True,True,1.0,True,1.0,True,0.9172926773298716,Voting
29,11,True,True,0.9999999999999992,True,1.0,True,0.9241054672262364,Voting
28,7,True,True,0.9999999997851556,True,1.0,True,0.9241054672262364,Voting
2,1,True,True,0.6185306046259461,True,0.9679306785168856,True,0.5216249042782038,Voting
7,3,True,True,0.9994839875641496,True,1.0,True,0.9003502184138671,Voting
22,3,True,True,0.9999039237029548,True,1.0,True,0.8983422254998216,Voting
48,7,True,True,0.9999999999771964,True,1.0,True,0.9241054672262364,Voting
15,3,True,True,0.9997894235852391,True,1.0,True,0.9276354234949148,Voting
3,2,True,True,0.9832005836506588,True,1.0,True,0.8946297055502613,Voting
79,7,True,True,0.9999999999992952,True,1.0,True,0.9241054672262364,Voting
24,2,True,True,0.998329897660154,True,1.0,True,0.8952274304766845,Voting
59,9,True,True,0.999999999999986,True,1.0,True,0.9241054672262364,Voting
72,19,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
79,13,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
22,5,True,True,0.99999979883581,True,1.0,True,0.8983422254998216,Voting
4,2,True,True,0.9849021055317464,True,1.0,True,0.8758734416899898,Voting
5,0,False,False,0.016186039550301082,False,0.0,False,0.040888629457844085,Voting
428,130,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
19,13,True,True,1.0,True,1.0,True,0.8992742268933365,Voting
49,0,True,True,0.9575990347392548,True,1.0,True,0.9135120415239356,Voting
47,22,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
21,7,True,True,0.9999999995289504,True,1.0,True,0.9010436767832742,Voting
20,9,True,True,0.9999999999988968,True,1.0,True,0.9238580643528804,Voting
66,5,True,True,0.9999999985529536,True,1.0,True,0.9241054672262364,Voting
44,17,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
4,2,True,True,0.9849021055317464,True,1.0,True,0.8758734416899898,Voting
7,2,True,True,0.9890741639844004,True,1.0,True,0.8618176410011481,Voting
21,1,True,True,0.954652531477819,False,0.3,True,0.6560998433866008,Voting
38,5,True,True,0.9999999665610028,True,1.0,True,0.9241054672262364,Voting
51,27,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
31,0,True,True,0.8256006971059059,True,0.9333333333333332,True,0.6725737020271572,Voting
83,23,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
6,4,True,True,0.99997355099267,True,1.0,True,0.8599552584126813,Voting
36,14,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
2,1,True,True,0.6185306046259461,True,0.9679306785168856,True,0.5216249042782038,Voting
21,11,True,True,0.999999999999998,True,1.0,True,0.9010436767832742,Voting
15,3,True,True,0.9997894235852391,True,1.0,True,0.9276354234949148,Voting
3,2,True,True,0.9832005836506588,True,1.0,True,0.8946297055502613,Voting
51,23,True,True,1.0,True,1.0,True,0.9241054672262364,Voting
