Project,DT_Round,KNN_round,DT,KNN
ant-1.7.csv,0.83,0.84,0.826404062,0.839180556
arc.csv,0.78,0.79,0.78350331,0.794238683
camel-1.6.csv,0.71,0.73,0.711287275,0.728340042
e-learning.csv,0.94,0.94,0.940677966,0.940677966
intercafe.csv,0.9,0.9,0.902173913,0.902173913
ivy-2.0.csv,0.82,0.82,0.820432692,0.823717949
jedit-4.3.csv,0.83,0.83,0.82999433,0.82999433
kalkulator.csv,0.92,0.92,0.920634921,0.920634921
log4j-1.2.csv,0.69,0.69,0.693121693,0.685185185
lucene-2.4.csv,0.8,0.84,0.800115062,0.840458811
nieruchomosci.csv,0.92,0.94,0.923529412,0.935294118
pbeans2.csv,0.7,0.7,0.697435897,0.697435897
pdftranslator.csv,0.98,0.99,0.981481481,0.985185185
poi-2.5.csv,0.9,0.9,0.897692489,0.900753473
prop-6.csv,0.74,0.75,0.741799306,0.754578614
redaktor.csv,0.77,0.77,0.769823515,0.774297788
serapion.csv,0.9,0.9,0.899691358,0.904320988
skarbonka.csv,0.8,0.84,0.799382716,0.842592593
sklebagd.csv,0.89,0.89,0.885416667,0.885416667
synapse-1.2.csv,0.8,0.81,0.797742818,0.813337893
systemdata.csv,0.61,0.61,0.60515873,0.60515873
szybkafucha.csv,0.77,0.79,0.772727273,0.792207792
termoproject.csv,0.9,0.9,0.896551724,0.896551724
tomcat.csv,0.81,0.82,0.81330961,0.817500042
velocity-1.6.csv,0.76,0.79,0.759679063,0.785914417
workflow.csv,0.46,0.47,0.457894737,0.471052632
wspomaganiepi.csv,0.94,0.94,0.944444444,0.944444444
xalan-2.7.csv,0.94,0.94,0.938803401,0.938803401
xerces-1.4.csv,0.93,0.93,0.928811736,0.929683119
zuzel.csv,0.91,0.91,0.913461538,0.913461538
