Project,DT_Round,KNN_round,DT,KNN
ant-1.7.csv,0.83,0.83,0.830170423,0.828339264
arc.csv,0.76,0.75,0.755770263,0.754875649
camel-1.6.csv,0.72,0.72,0.721501136,0.724944549
e-learning.csv,0.85,0.86,0.850847458,0.857627119
intercafe.csv,0.9,0.9,0.902173913,0.902173913
ivy-2.0.csv,0.81,0.81,0.806330128,0.811939103
jedit-4.3.csv,0.83,0.83,0.828104328,0.831128331
kalkulator.csv,0.85,0.85,0.849206349,0.849206349
log4j-1.2.csv,0.74,0.74,0.739417989,0.743386243
lucene-2.4.csv,0.81,0.81,0.809248139,0.809895365
nieruchomosci.csv,0.89,0.89,0.888235294,0.894117647
pbeans2.csv,0.68,0.68,0.679487179,0.679487179
pdftranslator.csv,0.99,0.99,0.992592593,0.992592593
poi-2.5.csv,0.89,0.89,0.886199082,0.887759006
prop-6.csv,0.74,0.74,0.738330272,0.735728497
redaktor.csv,0.74,0.74,0.743475019,0.743475019
serapion.csv,0.88,0.87,0.87962963,0.87345679
skarbonka.csv,0.76,0.78,0.759259259,0.780864198
sklebagd.csv,0.91,0.91,0.90625,0.90625
synapse-1.2.csv,0.81,0.81,0.808549932,0.809712722
systemdata.csv,0.74,0.74,0.736111111,0.736111111
szybkafucha.csv,0.79,0.81,0.785714286,0.811688312
termoproject.csv,0.88,0.91,0.880636605,0.909814324
tomcat.csv,0.8,0.8,0.801702779,0.802617357
velocity-1.6.csv,0.8,0.8,0.800899983,0.802428256
workflow.csv,0.49,0.48,0.486842105,0.478947368
wspomaganiepi.csv,0.93,0.93,0.930555556,0.930555556
xalan-2.7.csv,0.94,0.94,0.94416886,0.944067625
xerces-1.4.csv,0.92,0.93,0.921545153,0.931304651
zuzel.csv,0.89,0.9,0.894230769,0.899038462
