Project,ASCI ROUND,KNN NON SMOTE ROUND,KNN SMOTE ROUND,ASCI,KNN NON SMOTE,KNN SMOTE
ant-1.7.csv,0.81,0.84,0.83,0.81382102,0.839180556,0.828339264
arc.csv,0.73,0.79,0.75,0.732741617,0.794238683,0.754875649
camel-1.6.csv,0.65,0.73,0.72,0.650513349,0.728340042,0.724944549
e-learning.csv,0.8,0.94,0.86,0.801136364,0.940677966,0.857627119
intercafe.csv,0.6,0.9,0.9,0.602272727,0.902173913,0.902173913
ivy-2.0.csv,0.72,0.82,0.81,0.723611111,0.823717949,0.811939103
jedit-4.3.csv,0.62,0.83,0.83,0.616548463,0.82999433,0.831128331
kalkulator.csv,0.63,0.92,0.85,0.62962963,0.920634921,0.849206349
log4j-1.2.csv,0.66,0.69,0.74,0.662377995,0.685185185,0.743386243
lucene-2.4.csv,0.78,0.84,0.81,0.777334959,0.840458811,0.809895365
nieruchomosci.csv,0.8,0.94,0.89,0.796296296,0.935294118,0.894117647
pbeans2.csv,0.5,0.7,0.68,0.502136752,0.697435897,0.679487179
pdftranslator.csv,0.82,0.99,0.99,0.8203125,0.985185185,0.992592593
poi-2.5.csv,0.81,0.9,0.89,0.81186509,0.900753473,0.887759006
prop-6.csv,0.69,0.75,0.74,0.692582144,0.754578614,0.735728497
redaktor.csv,0.62,0.77,0.74,0.620295699,0.774297788,0.743475019
serapion.csv,0.84,0.9,0.87,0.838068182,0.904320988,0.87345679
skarbonka.csv,0.77,0.84,0.78,0.766304348,0.842592593,0.780864198
sklebagd.csv,0.63,0.89,0.91,0.625,0.885416667,0.90625
synapse-1.2.csv,0.67,0.81,0.81,0.667908282,0.813337893,0.809712722
systemdata.csv,0.82,0.61,0.74,0.820121951,0.60515873,0.736111111
szybkafucha.csv,#VALUE!,0.79,0.81,NaN,0.792207792,0.811688312
termoproject.csv,0.85,0.9,0.91,0.85026738,0.896551724,0.909814324
tomcat.csv,0.81,0.82,0.8,0.809919532,0.817500042,0.802617357
velocity-1.6.csv,0.76,0.79,0.8,0.763396134,0.785914417,0.802428256
workflow.csv,0.7,0.47,0.48,0.696078431,0.471052632,0.478947368
wspomaganiepi.csv,#VALUE!,0.94,0.93,NaN,0.944444444,0.930555556
xalan-2.7.csv,0.62,0.94,0.94,0.623803526,0.938803401,0.944067625
xerces-1.4.csv,0.91,0.93,0.93,0.907824907,0.929683119,0.931304651
zuzel.csv,0.87,0.91,0.9,0.866666667,0.913461538,0.899038462
