Project,DT_Round,KNN_round,DT,KNN
ant-1.7.csv,0.55,0.61,0.553159876,0.609331716
arc.csv,0.23,0.29,0.226804606,0.288675135
camel-1.6.csv,0.31,0.39,0.312053346,0.390466615
e-learning.csv,0.45,0.45,0.447213595,0.447213595
intercafe.csv,0.87,0.87,0.866025404,0.866025404
ivy-2.0.csv,0.37,0.42,0.372104204,0.419573196
jedit-4.3.csv,0.34,0.34,0.341881729,0.341881729
kalkulator.csv,0.61,0.61,0.612372436,0.612372436
log4j-1.2.csv,0.94,0.94,0.940027888,0.942823431
lucene-2.4.csv,0.77,0.83,0.773779889,0.829110657
nieruchomosci.csv,0.74,0.78,0.737864787,0.782623792
pbeans2.csv,0.56,0.56,0.559016994,0.559016994
pdftranslator.csv,0.86,0.9,0.859337849,0.897085227
poi-2.5.csv,0.86,0.88,0.863074119,0.883526112
prop-6.csv,0.26,0.34,0.260578653,0.342862741
redaktor.csv,0.59,0.59,0.589691975,0.589691975
serapion.csv,0.6,0.76,0.596284794,0.755928946
skarbonka.csv,0.45,0.68,0.447213595,0.680413817
sklebagd.csv,0.92,0.92,0.916666667,0.916666667
synapse-1.2.csv,0.56,0.63,0.563085413,0.626765263
systemdata.csv,0.5,0.5,0.5,0.5
szybkafucha.csv,0.67,0.69,0.667124385,0.694365075
termoproject.csv,0.74,0.74,0.739600262,0.739600262
tomcat.csv,0.38,0.4,0.378393734,0.401462528
velocity-1.6.csv,0.54,0.61,0.542083291,0.608887518
workflow.csv,0.43,0.45,0.433860916,0.45
wspomaganiepi.csv,0.96,0.96,0.960768923,0.960768923
xalan-2.7.csv,1,1,0.997222065,0.997222065
xerces-1.4.csv,0.95,0.95,0.946681415,0.949086673
zuzel.csv,0.88,0.88,0.877058019,0.877058019
