Project,VV,RF,AB,DSE,VVR,RFR,ADAR,DSER
ant-1.7.csv,0.810287783,0.789432341,0.825956676,0.839180556,0.81,0.79,0.83,0.84
arc.csv,0.735909823,0.699677939,0.780282698,0.794238683,0.74,0.7,0.78,0.79
camel-1.6.csv,0.70354473,0.673293354,0.70750842,0.728340042,0.7,0.67,0.71,0.73
e-learning.csv,0.854237288,0.940677966,0.916949153,0.940677966,0.85,0.94,0.92,0.94
intercafe.csv,0.902173913,0.831521739,0.75,0.902173913,0.9,0.83,0.75,0.9
ivy-2.0.csv,0.776442308,0.745032051,0.817387821,0.823717949,0.78,0.75,0.82,0.82
jedit-4.3.csv,0.823757324,0.775751276,0.829049329,0.82999433,0.82,0.78,0.83,0.83
kalkulator.csv,0.849206349,0.920634921,0.746031746,0.920634921,0.85,0.92,0.75,0.92
log4j-1.2.csv,0.699404762,0.620866402,0.654431217,0.685185185,0.7,0.62,0.65,0.69
lucene-2.4.csv,0.753730538,0.779781381,0.792743878,0.840458811,0.75,0.78,0.79,0.84
nieruchomosci.csv,0.905882353,0.897058824,0.873529412,0.935294118,0.91,0.9,0.87,0.94
pbeans2.csv,0.553846154,0.697435897,0.607692308,0.697435897,0.55,0.7,0.61,0.7
pdftranslator.csv,0.911111111,0.97962963,0.961111111,0.985185185,0.91,0.98,0.96,0.99
poi-2.5.csv,0.840622793,0.894204733,0.883476572,0.900753473,0.84,0.89,0.88,0.9
prop-6.csv,0.74271758,0.680568309,0.695120396,0.754578614,0.74,0.68,0.7,0.75
redaktor.csv,0.769077803,0.741983594,0.663435247,0.774297788,0.77,0.74,0.66,0.77
serapion.csv,0.895061728,0.836419753,0.895061728,0.904320988,0.9,0.84,0.9,0.9
skarbonka.csv,0.777777778,0.785493827,0.74691358,0.842592593,0.78,0.79,0.75,0.84
sklebagd.csv,0.864583333,0.848958333,0.885416667,0.885416667,0.86,0.85,0.89,0.89
synapse-1.2.csv,0.788919289,0.788201094,0.786730506,0.813337893,0.79,0.79,0.79,0.81
systemdata.csv,0.60515873,0.558531746,0.595238095,0.60515873,0.61,0.56,0.6,0.61
szybkafucha.csv,0.74025974,0.717532468,0.668831169,0.792207792,0.74,0.72,0.67,0.79
termoproject.csv,0.888594164,0.779840849,0.874005305,0.896551724,0.89,0.78,0.87,0.9
tomcat.csv,0.812893892,0.749189351,0.754892994,0.817500042,0.81,0.75,0.75,0.82
velocity-1.6.csv,0.749617932,0.758193242,0.758193242,0.785914417,0.75,0.76,0.76,0.79
workflow.csv,0.447368421,0.45,0.418421053,0.471052632,0.45,0.45,0.42,0.47
wspomaganiepi.csv,0.944444444,0.861111111,0.861111111,0.944444444,0.94,0.86,0.86,0.94
xalan-2.7.csv,0.938803401,0.856954849,0.751366673,0.938803401,0.94,0.86,0.75,0.94
xerces-1.4.csv,0.908284965,0.925083729,0.909163926,0.929683119,0.91,0.93,0.91,0.93
zuzel.csv,0.899038462,0.846153846,0.870192308,0.913461538,0.9,0.85,0.87,0.91
