Project,VV,RF,AB,DSE,VVR,RFR,ABR,DSER
ant-1.7.csv,0.518021343,0.478825156,0.550977777,0.609331716,0.52,0.48,0.55,0.61
arc.csv,0.240562612,0.344265186,0.186704011,0.288675135,0.24,0.34,0.19,0.29
camel-1.6.csv,0.314694903,0.261067096,0.312053346,0.390466615,0.31,0.26,0.31,0.39
e-learning.csv,0.547722558,0.25819889,0.447213595,0.447213595,0.55,0.26,0.45,0.45
intercafe.csv,0.866025404,0.866025404,0.866025404,0.866025404,0.87,0.87,0.87,0.87
ivy-2.0.csv,0.372104204,0.345134245,0.355023473,0.419573196,0.37,0.35,0.36,0.42
jedit-4.3.csv,0.452267017,0.301511345,0.319801075,0.341881729,0.45,0.3,0.32,0.34
kalkulator.csv,0.612372436,0.471404521,0.40824829,0.612372436,0.61,0.47,0.41,0.61
log4j-1.2.csv,0.940027888,0.951537325,0.943207777,0.942823431,0.94,0.95,0.94,0.94
lucene-2.4.csv,0.704854894,0.776157827,0.773779889,0.829110657,0.7,0.78,0.77,0.83
nieruchomosci.csv,0.632455532,0.782623792,0.717137166,0.782623792,0.63,0.78,0.72,0.78
pbeans2.csv,0.387298335,0.559016994,0.559016994,0.559016994,0.39,0.56,0.56,0.56
pdftranslator.csv,0.778498944,0.859337849,0.856348839,0.897085227,0.78,0.86,0.86,0.9
poi-2.5.csv,0.826926787,0.860771409,0.841138825,0.883526112,0.83,0.86,0.84,0.88
prop-6.csv,0.251432676,0.265562452,0.382518426,0.342862741,0.25,0.27,0.38,0.34
redaktor.csv,0.573964021,0.496903995,0.5143445,0.589691975,0.57,0.5,0.51,0.59
serapion.csv,0.589255651,0.384900179,0.5,0.755928946,0.59,0.38,0.5,0.76
skarbonka.csv,0.333333333,0.19245009,0.166666667,0.680413817,0.33,0.19,0.17,0.68
sklebagd.csv,0.79385662,0.833333333,0.916666667,0.916666667,0.79,0.83,0.92,0.92
synapse-1.2.csv,0.554204707,0.588680204,0.62269252,0.626765263,0.55,0.59,0.62,0.63
systemdata.csv,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
szybkafucha.csv,0.6172134,0.714285714,0.642857143,0.694365075,0.62,0.71,0.64,0.69
termoproject.csv,0.686406473,0.501745206,0.585369407,0.739600262,0.69,0.5,0.59,0.74
tomcat.csv,0.360374985,0.282038037,0.306318737,0.401462528,0.36,0.28,0.31,0.4
velocity-1.6.csv,0.452910814,0.511617178,0.550943903,0.608887518,0.45,0.51,0.55,0.61
workflow.csv,0.391311896,0.410391341,0.410391341,0.45,0.39,0.41,0.41,0.45
wspomaganiepi.csv,0.960768923,0.960768923,0.87038828,0.960768923,0.96,0.96,0.87,0.96
xalan-2.7.csv,0.997222065,0.997222065,0.997222065,0.997222065,1,1,1,1
xerces-1.4.csv,0.938442433,0.945476522,0.941994762,0.949086673,0.94,0.95,0.94,0.95
zuzel.csv,0.83624201,0.76271277,0.880704846,0.877058019,0.84,0.76,0.88,0.88
