Project,VV,RF,AB,DSE,VVR,RFR,ABR,DSER
ant-1.7.csv,0.596385542,0.55090808,0.562895925,0.562895925,0.6,0.55,0.56,0.56
arc.csv,0.395577403,0.380215621,0.226455407,0.400616808,0.4,0.38,0.23,0.4
camel-1.6.csv,0.354859225,0.345179571,0.336752894,0.341957287,0.35,0.35,0.34,0.34
e-learning.csv,0.404519917,0.282842712,0.372104204,0.404519917,0.4,0.28,0.37,0.4
intercafe.csv,0.56694671,0.612372436,0.612372436,0.612372436,0.57,0.61,0.61,0.61
ivy-2.0.csv,0.439796604,0.347439614,0.433860916,0.347439614,0.44,0.35,0.43,0.35
jedit-4.3.csv,0.205152485,0.255945348,0.280399855,0.205152485,0.21,0.26,0.28,0.21
kalkulator.csv,0.433012702,0.6172134,0.547722558,0.547722558,0.43,0.62,0.55,0.55
log4j-1.2.csv,0.813641305,0.887411101,0.884439575,0.813641305,0.81,0.89,0.88,0.81
lucene-2.4.csv,0.688874764,0.746982132,0.789103751,0.793079109,0.69,0.75,0.79,0.79
nieruchomosci.csv,0.6,0.737864787,0.7,0.667423812,0.6,0.74,0.7,0.67
pbeans2.csv,0.632455532,0.632455532,0.632455532,0.632455532,0.63,0.63,0.63,0.63
pdftranslator.csv,0.745355992,0.894427191,0.933333333,0.933333333,0.75,0.89,0.93,0.93
poi-2.5.csv,0.802405152,0.810405056,0.848666198,0.810405056,0.8,0.81,0.85,0.81
prop-6.csv,0.330120744,0.328351933,0.358379014,0.3331917,0.33,0.33,0.36,0.33
redaktor.csv,0.379663198,0.348155312,0.363054099,0.379663198,0.38,0.35,0.36,0.38
serapion.csv,0.577350269,0.589255651,0.632455532,0.603022689,0.58,0.59,0.63,0.6
skarbonka.csv,0.5,0.210818511,0.402015126,0.516397779,0.5,0.21,0.4,0.52
sklebagd.csv,0.819891592,0.848668425,0.833333333,0.848668425,0.82,0.85,0.83,0.85
synapse-1.2.csv,0.635338087,0.611052381,0.619893641,0.643039436,0.64,0.61,0.62,0.64
systemdata.csv,0.353553391,0.356348323,0.25,0.353553391,0.35,0.36,0.25,0.35
szybkafucha.csv,0.6172134,0.6172134,0.690065559,0.667124385,0.62,0.62,0.69,0.67
termoproject.csv,0.640512615,0.693375245,0.501745206,0.787726361,0.64,0.69,0.5,0.79
tomcat.csv,0.420197669,0.312893109,0.307693556,0.420197669,0.42,0.31,0.31,0.42
velocity-1.6.csv,0.60415854,0.583101213,0.562965912,0.622531756,0.6,0.58,0.56,0.62
workflow.csv,0.404145188,0.346410162,0.335410197,0.358568583,0.4,0.35,0.34,0.36
wspomaganiepi.csv,0.960768923,0.916666667,0.87038828,0.960768923,0.96,0.92,0.87,0.96
xalan-2.7.csv,0.982593671,0.988243922,0.988807172,0.982593671,0.98,0.99,0.99,0.98
xerces-1.4.csv,0.861339968,0.932681732,0.936466876,0.932681732,0.86,0.93,0.94,0.93
zuzel.csv,0.846153846,0.769230769,0.846153846,0.846153846,0.85,0.77,0.85,0.85
